stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,225.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.44,57.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.02,0,0,0,0,0,0,0,0
  7-9,10.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.75,20.06,0,0,18.13,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.71,5.46,0,0,15.13,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,13.38,6.05,1.21,0,0,0,4.33,0,4.94,0,0,0,0,0,7.04,0,0.94,245.49,1.61,4.48,0,0,0,0,0,464.3,0,0,1.06,0,0
 24-34,0,0,0,7.14,1.89,7.57,0,0,0,25.98,0,0,0,0,0,0.82,0,1.66,0,3.88,1179.06,0.75,0,6.62,0,1.43,0,0,612.41,0,0,1.53,0,0
 36-46,0,0,0,0,0,19.74,0.7,0,0,27.92,0,0,0,0,0,0.71,0,2.4,0,0,3796.95,0,0.69,3.73,0,8.23,0,0,827.37,0,0,0,0,0
 48-58,0.39,0,0,20.22,0,78.39,0,4.01,0.87,43.97,0,2.45,0,0,0,1.39,4.8,22.87,5.11,2.27,4529.96,0,1.17,4.56,0,7.04,0,0,1090.59,0,0,1.42,0,19.01
 60-70,0,0,0,14.73,0.7,138.64,0.58,1.18,0,55.5,0,0,0,0.61,3.43,5.39,0,27.37,1.11,1.66,5139.27,0,0,8.04,0,4.42,0.73,0,1000.72,0,0,1,0,0
 72-82,0,0,1.74,15.03,1.44,171.41,6.88,0,0,68.33,0.56,0.66,5.07,1.71,0.57,14.55,0,34.58,1.04,2.23,3828.59,0,1.45,5.69,0,13.72,0,3.93,538.53,0,0,9.33,1.16,15.66
 84-94,0,0,4.4,22.12,1.17,170.62,0,0,3.18,83.32,1.31,0,0.64,0,0.71,8.78,0,15.97,3.77,2.14,2327.61,0,0,17.82,0,2.5,0,1.35,227.07,0.55,1.91,0,0,0
 96-106,0,0,0.99,9.03,0.82,65.5,0,0,0,46.79,0,0,0,0,0,6.81,11.13,13.11,0,1.34,1533.14,0,0,35.6,0,6.74,0,0,68.88,2.04,0,1.51,1.22,10.14
108-118,0,0,0,10.3,1.96,80.92,0,0.43,0,44.1,2.93,0.49,0.82,0,0,6.88,0,19.14,0,1.55,1869.68,0,4.68,18.19,0,0,0,0,77.86,1.24,1.46,0,0,0
120,0,0,0,32.82,3.1,164.51,0,0,0,45.33,0,0,5.13,0,0,9.23,0,25.69,0,3.43,2297.42,0,0,39.61,0,0,0,0,143.11,0,0,0,0,0
