stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
  5-6,9.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66,0,0,4.94,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.04,0,0,6.63,0,4.78,0,0,0,0,0,0
 14-21,0,1.38,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.92,0,0,0,0,0,0,0.84,12.41,0,0,0
 24-34,0,0,2.1,0,0,0,0,0,0,0,0,0.64,0,0,0,0,1.41,0,0,121.69,9.92,2.2,0,5.13,0,0,0,37.77,0,0,0.69
 36-46,0,0,5.14,0,0,17.8,0,0,0.63,0,0,0,0,1.15,0,0,0,0,0,325.45,3.88,0,0,0.79,0,0,0,72.83,0,0,0
 48-58,0,0,6.76,0,0,52.83,3.83,0,3.36,0,0,0,0,0,0,0,3.81,0,0,430.63,0.86,0,0,0,0,0,0,45.31,0,0,0
 60-70,0,0.57,0,0,0,80.23,0,0,8.38,1.28,0,0,0,0,0,0,8.76,0,0,485.39,1.17,0.65,0,0,0,0,0,51.69,0,0,0
 72-82,0,2.34,0,0,0,113.52,0,0,14.12,2.91,1.05,0,0,0,0,0,5.34,6.78,0,531.82,4.71,3.44,0,0.55,0,0,0,21.21,0.87,0,0
 84-94,0,0,0.87,0,0,41.85,0,0,7.69,20.86,0,0,0,0,0,0.95,6.76,0,4.34,361.27,1.1,0.85,0,4.32,0,1.43,0,28.12,0,0,0
 96-106,0,0,1.36,5.53,0,76.74,0,1.49,8.28,18.42,0.68,0,0,0,3.56,1.3,14.33,0,0,323.67,2.27,2.71,0,0,0,0,0,10.76,0,1.26,0
108-118,0,0.77,1.45,0,1.04,64.33,0,0,2.18,22.7,0.44,0,0.71,0,0,0,6.56,0,0.47,376.85,0.95,4.98,0,0.98,0,0,0,21.59,0,0,0
120,0,0,8.71,0,0,39.02,0,0,3.33,7.74,1.23,0,0,0,0,0,28.49,0,0,592.69,1.09,1.29,0,3.25,2.43,0,0,0,0,0,2.85
