stage,blastomeres,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,gut,immune,liver,mesenchyme,neural,notochord,olfactory,pericytes,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,23.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.16,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,3.37,3.37,0,0,0,0,0,2.07,0,0.92,0,0,0,0
 24-34,0,0,0,0,0,0,0,32.16,0,0,0,0,0,0,0,0,0,0,0,3.36,0
 36-46,0,0,0,0,0,0,0,49.21,0,0,1.88,0,0,0,0,0,0,0.84,0,0,0
 48-58,0,0,0,0,0,0.65,0,65.58,0,0,0.42,0,0,0,0,0,0,1.03,0,0,0
 60-70,0,4.71,0,0,0,0,0,78.91,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.15,1.65,0,0,81.83,0,0.94,2.28,0,1.27,0,0,0,0,0,0.91,0,0
 84-94,0,0.74,0,0,0,0,0.62,99.06,0,1.98,0.59,0,0,0,0,0,0,0,0,0,0
 96-106,0,0.96,0.59,0,0,0,0,133.61,0,0,6.03,0,0,2.27,0,0,0,0,0,1.19,0.61
108-118,0,0,0,0,0,0,3.49,117.92,0,4.07,0.98,0,0,0,0,0,0,0,0.77,1.08,0
120,0,0,0,0,0,0,0,185.33,0,0,16.98,3.25,0,0,0,0,0,0,0,0,0
