stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,7.99,9.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56,0,0,0,4.52,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.72,0,0,0,11.17,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.11,0,3.47,0,0,3.59,0,0,0,0,1.18,2.61,0,0,0,0,0,0,0,3.73,0,0,2.93,96.85,1.29,0,2.5,0,0.89,0,1.56,0,6.7,25.81,0,0,0,0,0
 24-34,0,0,0,1.2,0.74,0,0,3.93,0.67,0,0,1.8,0,0,0,0,0.79,0,1.77,0,0,2.18,0,0,0,105.81,4.97,3.19,1.48,0,5.53,0,0,0,0,15.67,0,0,2.45,0,0.77
 36-46,0,0,0,0,0.94,0,0,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58,0,0,1.93,106.26,0,0.96,0,0,2.56,0,0,0,0,11.84,0,0,0.99,0,0
 48-58,0,0,0,1.75,0,0,0,16.7,0,0.39,0,1.38,0,0,0,0,0,0,0,0,0.54,1.32,0,0,1.56,128.32,0,0.39,0,0,15.98,0,0,0,0,12.45,0,0,0,0,0
 60-70,0,0,0,0,4.43,0,0,47.65,0,0,0,24.69,0,0,0,0.58,5.42,0.9,0,0,0,7.52,0,0,0.62,144.15,0,0,0,0,9.03,0,1.87,0,0,30.32,0,0,0,0,0
 72-82,0,0,0.69,3.31,1.44,0.51,0,100.93,2.91,1.4,0,5.69,1.82,0,0.66,0,0,0,0,0,0,15.88,0.92,0.78,0,173.6,1.26,0,0.54,0,0.55,0,1.18,0,0,24.52,1.38,0,0,0,0
 84-94,0,0,0,0,0,16.07,0,76.26,0,0,0,5.93,2.58,0,0,2.6,0.91,0,0,0,0,10.98,1.18,0.63,2.6,76.24,0,1.87,2.54,0,9.57,0,1.13,0.67,0,5.85,9.16,0,5.16,0,7.1
 96-106,0,0,1.73,0,7.38,5.53,0,120.95,0,1.64,0,9.25,0,0,0,3.21,0.83,2.12,0,0,0,9.25,0,0,3.26,101.42,0,3.96,1.98,0,37.83,0,0,0,0,11.33,2.75,0,0.91,0,0
108-118,0,0,0.97,0,8.52,3.51,3.43,99.06,0.64,0,0.59,17.22,0,0,1.04,2.27,0,0,0,0,0,12.09,0,2.84,0,187.04,0.47,2.72,0.74,0,14.21,0.42,0.43,0,0,13.1,5.09,0.63,0.67,2.48,0
120,0,0,0,0,2.06,1.06,0,42.56,0,2.41,0,3.33,0,0,0,0,0,0,0,1.02,0,6.51,0,0,0,297.52,0,0,0,0,9.49,0,1.47,0,0,0,17.5,0,0,0,0
