stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,7.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.53,0,0,0,0,0,0,13.71,0,0,0,0,0,0,0,0
 14-21,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,1.94,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.16,0,0,0,0,0,21.4,0,1.32,0,10.2,0,0,0,0
 36-46,0,0,0,1.65,0,6.64,0,0,0,0,0,0,0,0,57.04,0,0,0,9.43,0,0,0,0
 48-58,0,0,1.33,5.99,0,3.24,4.17,0,0,0,0,2.39,0.5,0.43,177.19,0,0,0,22.66,0,0,0,0
 60-70,0,0,4.98,36.14,0,10.39,0,0,0,0,0,5.83,0,0.87,395.24,2.02,0,0,75.58,0,0,0,0
 72-82,0,0,1.12,68.54,0,11.55,0,0,0,0,0,1.04,0,0,371.58,0,0,0,59.62,1.01,0,0,0
 84-94,0,0,1.12,25.58,0,8.38,0,0,0,1.49,0,1.7,0,0,254.99,0,0,0,40.27,0,0,0,0
 96-106,0,0,1.22,26.2,0,18.54,0.85,0,0,0,0,2.83,0,0,327.32,0.67,0,0,9.57,0,1.93,2.08,0
108-118,0,0.94,0,24.63,0.5,11.39,0,0,0,0,0.43,2.19,0,1.84,252.09,0,0,5.27,17.81,0,0,0,2.13
120,0,0,5.12,58.85,0,0,0,0,0,0,0,0,0,0,397.38,0,3.45,0,37.85,0,0,2.09,0
