stage,axial,blastomeres,eye,glial,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,0,117.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,17.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,0,6.97,0,0,0,0,0,0,50.35,0,3.24,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,39.95,0,23.97,0,0,3.51,0
 14-21,0,0,0,0,0,0,0,0,0,9.04,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.09,0,0,21.62,0,0,0.88,0,4.56,0
 48-58,0,0,0,0,0.38,0,0.79,0,0.57,11.53,0,0,0,0,2.22,0
 60-70,0,0,2.47,0.79,0,0,0,0,0,4.15,0,0,0,0,0,0
 72-82,0,0,1.67,0.56,0,0,2,0,0,9.62,0.55,0,0,0,2.76,0
 84-94,0,0,2.26,0,0,0,3.05,0.73,0,4.85,0,0,2.54,1.46,1.22,0
 96-106,0,0,3.84,0.67,0,1.64,5.31,0,0,6.68,0,0,0,0,0,0
108-118,0,0,6.51,1.53,0,0,3.33,0,0,18.56,0,0,0,0,3.33,2.77
120,0,0,0,0,0,0,0,0,0,19.34,0,0,0,0,5.59,0
