stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,glial,gut,heart,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,9.55,0,0,0,0,0,0,0,0,0,44.05,0,0,4.41,0,0,0,0,0,0,0
 10-12,17.04,4.33,0,0,0,18.72,0,0,0,0,0,0,0,0,0,380.34,0,0,7.5,3.1,0,4.5,0,0,0,0
 14-21,0,0,22.47,9.99,0,2.77,0,0,0,2.33,0,0,0,25.29,26.94,229.84,0.87,2.82,1.02,0,3.57,0,1.45,28.71,0,2.15
 24-34,0,0,0.69,6.01,0,3.43,1.05,0,0.89,29.42,0,0,0,4.47,0.72,65.35,0,0,0,0,0,0,0,28.17,0,22.86
 36-46,0,0,0,1.06,0,6.73,1.53,0,0,83.26,0,0,0,3.81,0.56,68.47,0,0,0,0,0,0,0,26.53,0,5.65
 48-58,0,0,0,1.03,0,7.35,1.43,0,0,51.97,0,0,0,0,0.61,34.84,0,0,0,0,0,0,0,29.24,0,10.71
 60-70,0,0,0,1.5,0,0.72,1.17,0,0,34.52,0,0,0,0,0,10.18,0,0,0,0,0,0,0,5.96,0,15.12
 72-82,0,0,4.05,0.59,0,0.8,0,0,0,102.63,0,0,0,4.6,0,6.86,0,0,0,0,0,0,0,8.6,0,17.45
 84-94,0,0,7.03,3.02,0,0,0.88,0,0,120.8,0,0,0,4.08,0,2.09,0,0.79,0,0,0,0,0,1.24,0,6.05
 96-106,0,0,9.1,9.88,0,13.04,0,1.86,0,159.39,0.75,0.83,1.25,0.78,0,15.01,0,0,0,0.89,0,0,0,0,1.14,23.78
108-118,0,0,9.41,7.92,0.72,4.18,5.1,1.14,0,142.93,0,0,1.1,4.4,0,15.9,0,0.53,0,0.81,0,0.41,0,0,0.5,24.09
120,0,0,8.44,8.84,0,12.19,0,0,0,253.84,0,0,0,0,0,5.7,0,0,0,3.36,0,0,0,0,0,24.49
