stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,32.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.52,0,3.12,38.9,0,0,0,0,0,0,0,0,107.1,0,0,0,0,0,0,0,0,0,8.61,1.08,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,2.26,7.67,0,12.36,0,0,0,0,0,0,296.53,0,0,0,2.05,0,1.34,0,0,0.75,16.46,0,0,0,0,0.82,0,6.9,8.83,0,0,14.5,0,0
 36-46,0,0,0,0,0,0,126.25,0,0,0,0,0,0,378.79,0,0,0,0,0,0.78,0,0,2.89,14.93,0,0,0,0,0,0,0,12.84,0,0,9.59,0,0
 48-58,0,0,0,6.12,1.65,0,2272.24,0,1.85,0.44,13.68,0,0,311.83,0,6.55,0.58,0,0,8.49,0,0,0.92,192.06,5.15,1.7,0.42,0,0.59,0,0,25.6,0,0,7.32,0,3.3
 60-70,0,0,0,1.79,0,0,9662.73,0,1.54,0,7.93,0,0.7,455.3,0,0,0,0,0,7.08,0,3.94,0.66,259.09,0,0,0,0,10.01,0,0,38.64,0,1.42,5.42,0,0
 72-82,0,1.01,0.56,37.86,9.1,0,15046.25,3.3,0.96,0,112.84,1.31,0.74,337.48,2.25,0,1.15,3.95,3.49,44.67,0,3.3,1.29,414.76,0,6.36,0,0,4.19,0,0,20.3,0,1.05,14.64,2.66,5.4
 84-94,0,0,0,32.84,1.77,0,8894.49,1.12,4.15,0,101.93,1.37,4.37,428.53,2.62,1.85,1.3,0,0,42.27,0.59,18.96,6.54,328.44,0,2.22,1.26,0,8.54,0.58,0,35.1,1.63,4.33,13.72,3.14,4.88
 96-106,0,3.77,0,21.01,44.6,1.23,9760.77,1.42,3.99,0,99.13,5.44,5.61,604.86,0,1.82,4.13,19.9,0,44.09,0.68,3.69,2.27,260.83,0,3.5,0.6,0,4.13,0,0,11.15,0.61,1.33,17.71,1.96,23.62
108-118,0,0,0.49,40.61,1.49,0,7479.64,0,2.13,4.81,63.42,3.41,1.12,418.76,1.1,1.79,0,15.14,0,26.16,3.11,8.08,8.77,389.06,0.54,1.98,2.2,4.15,0.51,1.9,0,17.1,1.98,0,2.47,4.93,0
120,0,0,0,27.19,3.13,0,5175.96,1.01,0,5.84,141.8,0,0,481.71,2.26,26.73,0,9.13,0,32.92,0,15.08,7.03,691.16,5.26,12.71,5.1,0,3.62,0,0,14.11,0,2.41,3.65,0,0
