stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,0,0,0,0,0,0
 10-12,14.5,0,0,0,0,0,0,0,0,0,5.85,0,0,10.83,0,0,0,0,0,0
 14-21,0,6.41,35.05,0,0,2.26,35.15,0,0,0,3.53,0,0,0,0,0,0.84,0,0,0
 24-34,0,0,1.5,0.77,0,0,45.16,0,1.15,0.91,10.23,0,0.65,0,0,2.28,0,0,0,0
 36-46,0,0,0,0,0,0,90.03,0,0,1.39,3.46,0,0,0,0,0,0,1.07,0,0
 48-58,0,0,0,0.69,0,0,79.91,0,0.85,0.54,8.59,0,0,0,9.65,0,0,0,0,0
 60-70,0,0,0,4.52,0,0,63.39,0,0,0,0.6,0,0,0,0,0,0,1.79,0,0
 72-82,0,0,5.79,3.87,0,0,98.96,0,8.37,0,8.23,0.52,0,0,0,0,0,0,0,0.53
 84-94,0,0,0,1.23,0,1.68,159.74,0,0,0,4.94,0,0,0,0.74,0,0,0,0,0
 96-106,0,4.06,10.52,0,0,0.91,166.35,1.36,2.98,0,0,0,0,0,1.58,3.58,0,0,5.4,0
108-118,0,1.77,0,0,0.52,0.74,180.28,0,0.58,0,0.76,0,0,0,2.9,0,0,0,1.86,0
120,0,1.81,2.46,2.15,0,0,149.36,0,1.14,0,6.52,0,0,0,13.64,4.24,0,0,1.41,0
