stage,epidermis,eye,gut,mesenchyme,mural.cell,muscle,neural,olfactory,otic,spinal.cord,vascular.smooth.muscle,vasculature
 10-12,0,0,0,0,0,0,11.91,0,0,0,0,0
 24-34,0,0,0,0.62,0,0,0.76,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.86,0,0,0,0,0
 48-58,0,0,0,0,0,0,1.28,0,1.14,0.53,0,0
 60-70,0,0.84,0,0,0,0,3.61,0,0,0,0,0
 72-82,0,8.66,0,0,0,0,9.77,0,0,0,0.54,0
 84-94,0,20.23,0,4.57,0.65,0,2.13,1.91,0,0,0,0
 96-106,0.65,4.48,0.98,1.17,0,0,10.78,0,0.66,0,0.62,0.92
108-118,0,27.69,0,1.33,0,1.02,0.76,0,0,0,0,1.05
120,0,22.43,0,0,0,0,6.31,1.11,0,0,0,0
