stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,159.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.89,66.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.54,0,0,0,4.13,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,18.32,0,0,0,17.08,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.72,0,0,0,9.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.43,0,0,0,71.32,0,0,0,0,0,0,5.09,0,0,0,0,0
 14-21,0,0,0,0,1.08,1.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.86,1.45,0,8.4,51.75,0.87,1,0,0.8,0,0,1.16,2.58,0,14.79,11.9,0,0,0,0,0
 24-34,0,0,0.8,0,0,0,0,3.95,0,0,0,0.61,0,2.95,1.77,0,0,0,0,0,0,6.63,0,12.23,215.36,11.46,7.5,2.94,0,0,5.73,0,0,0,3.44,54.63,0,0,0.82,0,0
 36-46,0,0,0,0,0.94,0,0,16.34,0,1.39,0,0,0.56,0.59,0,0,0,0,0,0,0,12,0,7.99,571.19,0,3.95,1.09,0,0,3.41,0,0,0,0,117.35,0,0,2.27,0,0
 48-58,0,0,0,0,8.4,0,0,44.9,0,2.04,0.5,4.94,0,0,0,0,0,0,0,0,1.28,6.95,0,5.39,954.3,0,0.86,0,0,0,6.12,0,0,0,0,124.6,0,0,1.7,0,0
 60-70,0,0,0,0,0,0,0,273.32,0,0,0.81,14.59,0,0,0,0,0,0,0,0,0,25.05,7.24,2.63,1463.91,0.66,5.69,0,0,0,0,0,0,1.38,0,170.1,0,0,10.61,0,0
 72-82,0,0,0.93,0,5.01,1.45,0,436.25,0,4.86,0,28.59,0,0,0,0,2.11,0,0,2.73,0,28.53,2.27,7.77,1515.42,0,7.03,1.39,0,1.4,4.32,0,0,8.92,0,182.08,1.16,1.62,0.99,1.49,0
 84-94,0,0,0,0,9.17,2.34,0,320.75,0,1.83,1.18,47.55,0,0,2.55,0.86,0,0.58,0,2.93,0,30.57,15.8,4.42,1129.5,3.54,9.06,3.7,0,0,13.24,0,0,0,0,178.2,0.9,1.04,8.49,2.76,0
 96-106,0,0,0,0,8.59,0,0,364.27,0,0.62,3.29,39.58,1.03,0,1.99,0,9.76,1.38,0.84,0,7.1,31.41,0,2.41,832.56,0,8.54,5.44,0,0,23.12,0,0,0,0,49.05,0,0,0.92,3.18,0
108-118,0,0,0,0.61,11.46,1.88,0.65,366.89,3.03,0,0,36.71,0.5,0,0,1.94,0.93,0,0.43,0,9.38,32.85,0,1.35,1155.18,0.46,13.61,6.78,0,0,5.5,0,0,3.63,0,43.73,1.88,0.56,2.87,0.56,2.03
120,2.82,0,0,1.28,9.91,0,0,378.46,0,1.8,0,68.25,8.14,0,0,4.9,3.52,0,0,0,0,57.05,3.51,1.5,1434.95,0,0,13.64,0,0,4.14,0,0,0,0,72.5,0,0,2.91,0,0
