stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,immune,ionocyte,mesenchyme,neural,notochord,paraxial.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,19.58,25.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.76,169.89,0,0,0,0,0,0,0,65.09,0,17.67,0,0,0,0,0,0
  7-9,12.74,28.07,45.84,0,0,0,0,0,0,222.31,76.08,458.74,0,0,0,0,0,0
 10-12,0,0,39.46,6.59,0,0,0,0,0,89.03,0,105.06,120.04,0,11.48,0,0,0
 14-21,0,0,0,38.34,0,0,0,0,0,0.81,0,0,0,0,0,1.53,0,12.82
 24-34,0,0,0,3.79,0,0,4.17,0,0,8.47,0,0,0,0,0,0,0,18.61
 36-46,0,0,0,0,0,0,4.57,0,0,10.87,0,0,0,0,0,0,0,2.82
 48-58,0,0,0,0,0,0,4.61,0,0.92,18.61,0,0,0,0,0,1.12,0,4.55
 60-70,0,0,0,0,3.1,0,4.4,0,0,12.4,0,0,0,0,0,1.17,0,0
 72-82,0,0,0,0,0,1.14,9.9,0,3.19,14.94,0,0,0,0,0,0,0.91,0.64
 84-94,0,0,0,0,0,0,14.55,0,0,3.87,0,0,0,1.3,0,0,0,2.98
 96-106,0,0,0,0,0,1.64,22.06,0,0.78,5.01,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.51,1.02,33.22,1.23,4.88,24.11,0,0,0,0,0,0,0,0
120,0,0,0,11.3,0,0,52.12,1.17,14.31,14.79,0,0,0,0,0,0,0,1.54
