stage,eye,glial,mesenchyme,muscle,neural,periderm,spinal.cord
 14-21,0,0,0,0,0,0,0.98
 72-82,1.61,0,0,0,0,0,0
 96-106,0,0.99,0,0,10.55,0,0
108-118,0.79,0,3.58,0,0,0,0
120,0,0,0,7.29,0,12.95,0
