stage,axial,blastomeres,endoderm,erythrocytes,eye,glial,hatching.gland,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,53.82,2404.23,0,0,0,0,0,0,0,0,0,152.37,0,0,0,0,0,0
  5-6,187.57,1839.08,0,0,0,0,16.25,0,98.71,0,9.43,53.16,0,0,0,0,0,0
  7-9,35.6,66.76,39.6,0,206.85,0,56.34,0,1249.69,48.98,520.7,5.76,40.33,0,0,0,0,0
 10-12,0,14.12,100.08,4.44,149.47,0,13.76,0,1233.1,62.74,440.41,0,6.56,7.75,40.45,4.93,0,0
 24-34,0,0,0,0,0,0,0,0,0.9,0,0,0.93,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.99,0,0,0,0,0,0,0,1.94,0
 48-58,0,0,0,0,2.47,0.55,0,0.53,1.86,0,0,0,0,0,0,0,1.63,0.61
 60-70,0,0,0,0,0,0.67,0,0,8.05,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.07,0,0,2,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.22,0,0,0,3.78,0,0,1.2,0,0,0,0,9.22,0
 96-106,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0
