stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,ionocyte,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24,0,0,0,0,0,0
 14-21,2.66,0.9,0,0.96,0,0,0,0,0,0,0,3.41,0,0,0,0,1.18,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.52,0,0,0,0.99,0,1.21,0.99,0,0
 36-46,0,0,0,0.99,0,0,0,0,0,0.56,4.3,8.43,0.6,0,0,3.54,0,0,0.7,0,0
 48-58,3.88,0,0,0,0,0,0,0,0,0,0.65,5.28,0,0,0,0,0,0,1.12,0,0
 60-70,1.47,0,0,4.15,1.68,1.02,0,0,0.75,0,0,1.6,0,0,0,0.67,0,0,1.76,2.13,0
 72-82,8.43,0,0,0.63,0,0,0,0,1.64,0.71,0,2.54,0,0,0,4.54,0,0,0,8.56,0.82
 84-94,29.12,0.65,0,0,0,0,0,0,0,0,0,4.23,0,0,0,19.84,0,0,1.88,24.09,0
 96-106,70.05,0,0,2.67,0,0,4.82,0.59,0,0,0,2.3,2.06,0,0,15.03,0,0,1.99,43.37,0
108-118,70.6,0,1.08,1.54,3.7,0,2.51,0.55,0,0,0,22.54,0,0.44,0,18.37,0,0,0,44.02,0.75
120,55.06,0,0,12.94,0,0,3.9,1.06,0,0,0,13.55,0,0,0,15.49,0,0,0,17.33,0
