stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,118.77,2246.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.53,0,0,0,0,0,0,0,0,0,0,0
  5-6,86.06,1084.04,0,0,0,0,0,0,0,0,0,29.4,0,0,0,0,0,0,0,0,0,0,0,15.71,0,0,0,0,64.87,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.11,0,0,0,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.65,0,0,0,60.53,0,13.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,17.67,0,0,8.21,0,0,0,0,0,18.97,0,0,0,0,0,0,0,0,0,0,0,361.89,0,0,0,45.9,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.94,6.39,1.04,3.96,0,0,0,0,0,0,0,0,0,0,0,134.58,0,2.1,0,0,0,28.58,0,2.9,0,0,1.31,0,3.51,1.66,11.77,15.31,9.24,0,0,0,0,0
 24-34,0,0,3.65,0.7,2.38,5.62,0,0,0,0.8,0,0,0,0.71,0,0,0,47.88,1.53,2.16,0,0,2.58,71.73,0,7.4,0.68,0,5.05,0,0,0,0,0.67,9.37,0,0,8.58,0,0
 36-46,0,0,0,0.58,0,20.26,0,0,0,4.7,0,0,0.65,0,0,0,0,19.83,21.97,1.96,0,0,0.56,52.16,0,12.28,0,0,1.41,0,0,0.6,0,0,12.53,0,0,1.43,0,0
 48-58,0,0,0,0,0.39,29.85,0,0,0,7.49,0,5.51,0,0,0,0,0.45,3.36,9.6,2.06,0,0,0,60.25,0,6.21,0,0,0.77,0,0,0,0,0,12.81,0,0,0,0,5.07
 60-70,0,0,0,0,0,23.79,0,0,0.7,10.62,0,0,0,0,0,0,0,0.72,9.3,2.27,0,0,0,34.49,0,8.13,0,0,0.72,0,0,0,0,0,15.24,0,2.1,0,0,0.65
 72-82,0,0,0,3.17,5.6,39.26,0.57,0,0,23.36,1.77,0.5,0,0,0,0,0.9,1.07,0,8.25,0,0,2.26,22.38,1,10.13,3.01,0,0,0,0,0,0,0,9.77,0,0,0.9,0.89,0
 84-94,0,0,1.01,2.93,11.05,26.32,0,0,0,19,4.97,0,0,1.33,0,0.61,0,1.37,1.76,10.63,0.78,0,0,23.27,0,11.42,0,0,19.86,0,0,0,0,0,0,1.09,0,2.78,1.5,3.81
 96-106,0,0,0,0.6,1.27,40.93,0,0.73,1.68,21.01,4.62,0,0,0,0.74,0,1.05,4.36,0,8.84,0.77,0.93,0.9,36.69,0,36.63,3.25,0,12.93,0,0,2.56,0,0,0,0,0,2.08,0,0
108-118,0,0,0,2.47,1.99,19.37,0,0,2.92,26.53,12.37,0,0,0,2.19,0,0.6,21.08,0,8.79,0,0,0.46,50.95,0,8.86,4.63,0,11.22,0,0,1.41,0,0,0,1.01,0,0,0,0
120,0,0,0,24.98,1.71,7.03,0,0,0,66.13,13.49,0,0,1.14,9.64,0,0,10.05,0,12.7,0,0,1.12,89.99,0,3.36,1.66,0,11.59,0,0,0,0,0,1.98,1.19,0,0,0,0
