stage,blastomeres,epidermis,eye,glial,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,10.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,31.4,0,0,0,0,0
 14-21,0,1.75,0,0,0,0,0.82,0,0,1.18,0,1.39,0,0,0
 24-34,0,1.28,0,0,0,0,0,0,0,0.96,0.64,0,0,0,0
 36-46,0,0,0.67,0,0,0,3.18,0,4.12,1.65,0,3.93,0,0,0
 48-58,0,0,0,0,0,0,32.51,0,6.44,15.6,0,0,0,0,0
 60-70,0,0,11.77,1.58,0,0,44.12,0,1.69,3.37,0,6.03,1.4,0,0
 72-82,0,0,2.7,0,0,0,37.22,6.22,2.37,12.29,0,2.46,2.58,0,7.1
 84-94,0,0,0.63,0,0,0,38.95,0,2.64,12.67,0,0,0,0,9.63
 96-106,0,0,0.91,0,0,0,39.08,0,0,22.11,0,0,0,0,21.91
108-118,0,0,3.85,0,0,2.03,42.4,0,1.08,13.69,0.85,0,4.06,0,19.48
120,0,0,4.55,0,2.26,0,36.61,0,0,28.4,0,0,0,5.91,20.21
