stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,1127.88,19698.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,571.25,0,0,0,0,0,0,0,0,0
  5-6,560.34,8473.89,0,9.08,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,142.78,34.21,0,0,68.32,66.38,0,0,0,0,0,0,0,0,0
  7-9,295.05,183.29,0,408.26,0,0,0,780.77,0,0,0,0,0,318.79,0,0,0,0,0,0,0,0,0,0,0,6762.92,300.19,0,0,2416.05,4.34,54,0,0,0,0,0,0,0,0
 10-12,4.89,320.18,0,525.34,0,20.69,0,499.51,0,0,0,0,0,108.97,0,0,0,0,0,0,0,0,0,0,0,6298.68,225.54,0,0,2476.81,13.26,17.58,11.94,323.04,20.28,18.91,0,0,0,0
 14-21,0,0,0,1.3,26.06,6.5,0,12.25,0,0,0,0,2.02,0,1.13,0,0,0,0,0,1.05,23.94,0,0,4.21,162.27,6.78,0.95,1.1,1.85,1.67,1.12,23.14,2.27,11.9,57.64,0,2.24,0,0
 24-34,0,0,0.84,0,9.23,1.24,0,55.12,0,1.6,0.78,4.82,0,0,0.69,0,0,0.64,0.82,2.87,0,29.17,0.66,0,10.14,440.45,1.62,6.12,5.14,0,6,0,0,0,2.81,81.51,0,2.62,0,0.76
 36-46,0,0,0,0,1.66,0.76,0,75.69,0,0,0,20.59,0,0,0,1.03,0,0,0,0.59,0,24.34,0,1.81,1.9,422.25,0.67,5.55,2.3,0,4.8,0.74,0,0,0,115.4,0,2.94,0,0
 48-58,0,0,0,1.75,10.93,0,0,111.92,0,0,0.66,15.08,0,0,0,0,0,0,0,0,0,22.75,0,5.38,6.45,305.91,2.42,4.57,0.7,0,0.64,0,0,0,0,44.61,0,1.82,0,2.24
 60-70,0,0,0,0,6.73,0,0,222.38,0,3.86,0,22.88,0,0,1.36,0,0,1.15,0,0,0,29.39,0,3.16,2.98,392.72,0,0,0,0,3,0,0,0,0,45.33,0.63,7.35,0,0
 72-82,0,0,0,0,3.48,6.05,0,123.75,0,0,0,11.27,0,0,0.86,0.49,0,0,0,0.62,0,42.21,1.2,1.52,4.44,180.72,0,3.6,0.8,0,6.23,0,0,0,0,14.38,0.72,1.65,1.62,0
 84-94,0,0,0,0,3.28,0,0,76.71,1.33,0,0.6,9.11,3.78,0,0,0.72,0,7.05,4.94,0,2.28,31.98,0,11.23,7.97,104.42,0,1.91,2.08,0,5.33,0,0,0,0,30.59,1.22,6.49,2.37,0
 96-106,0,0,0,0,2.04,0,0,61.61,0,0,1.38,13.55,1.37,0,0,1.14,0.56,0.92,0,0,0,24.63,0,0.63,0,88,0,0,3.28,0,12.95,0,0,0,0,7.1,0,0,0,6.46
108-118,0,0,0,0,3.99,6.03,1.7,31.2,0,0.57,0.71,5.82,0.81,0,0,6.36,1.82,1.19,2.46,0.56,0,24.74,0,0,0.42,155.65,0.41,1.38,6.33,0,10.5,0,0,1.06,0,5.72,1.36,3.54,2.12,3.93
120,0,0,0,1.28,20.17,0,1.05,79.92,0,0,0,5.09,0,0,9.97,22.56,0,1.59,0,0,0,45.06,0,2.4,1.27,128.69,4,3.27,7.61,0,4.66,0,0,0,0,11.34,0,28.53,0,0
