stage,blastomeres,endoderm,epidermis,eye,gut,hatching_gland,lateral_line,mesenchyme,mucous,neural,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0
 10-12,15.14,3.47,0,0,0,0,0,0,0,19.26,7.14,0,0,0
 14-21,0,0,2.13,0,0,0,0,0.81,0,3.58,0,0,0.82,0
 24-34,0,0,0,0.67,0,0,0,0,0,7.42,0,0,0,3.05
 36-46,0,0,0,0,0,0,0,0,0,0.96,0,0,0,4.17
 48-58,0,0,0,0,0,0,0,0,7.57,2.03,0,0,2.24,14.47
 60-70,0,0,0,1.17,0,0,0,0,0,0,0,0,0,13.22
 72-82,0,0,1.95,19.07,0,0,0,0.78,0,9.95,0,0,0,6.82
 84-94,0,0,0,24.93,0,0,0,0,2.97,0,0,0,0,5.08
 96-106,0,0,0,72.3,1.18,0,1.64,0,0.97,1.19,0,2.81,0,18.67
108-118,0,0,0,52.47,0.45,0,2.21,0,3.58,3.88,0,0,0,8.83
120,0,0,0,51.22,0,0,0,0,0,0,0,0,0,0
