stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,25.6,529.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.62,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,129.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,4.46,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.61,32.21,0,0,62.36,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,181.67,8.61,381.17,0,8.93,0,1.75,0.82,4.5,0,0,0,0,41.13,0.84,77.57,0,0,184.4,329.39,93.06,0,10.24,0,0,4.72,2.66,32.04,0,238.88,133.95,77.42,0,0,0,0,0
 24-34,0.88,0,0,68.29,3.24,1540.57,4.4,74.93,33.68,96.93,0.98,23.12,0,0,2.14,0,53.21,0,342.68,2.34,1.21,524.07,1410.2,17.31,3.52,11.42,2.99,0.99,5.31,0.86,8.48,1.68,80.92,169.18,270.34,0,0,15.29,0,8.49
 36-46,0,0,0,7.96,0,1951.35,10.2,34.97,62.35,59.77,0,16.5,3.24,0,7.74,1.47,18.92,9.74,304.57,0,11.59,234.86,904.11,18.07,0.8,20.14,0,0,6.96,0,5.17,0,16.77,5.66,250.52,0,5.16,38.21,0,0.89
 48-58,0,0,0,9.2,0,1682.92,4.03,28.29,26.74,186.71,0.68,10.14,1.16,0,4.87,0,26.13,0,335.18,0,9.14,58.71,396.38,1.33,0,26.22,0,0,2.5,0,0,2.81,4.96,0,120.03,0,3.35,32.9,4.01,3.34
 60-70,0.81,0,0,10.1,0,1435.35,1.58,24.17,29.92,531.92,0,12.63,0,0.82,0,0.71,21.98,0,295.76,0,13.71,30.15,247.5,8.75,4.08,18.91,0,0,2.88,0,0,0,0.64,0,37.25,0,5.42,42.32,2.42,0.99
 72-82,0,0,0.56,11.48,7.33,847.63,5.92,23.83,41.07,1439.23,0,5.5,4.16,13.61,0,3.93,72.03,3.9,706.61,0,26.18,66.18,164.55,0.73,7.38,27.52,0,1.61,4.75,0,0,0,0,0,24.08,3.18,44.01,229.51,16.03,0
 84-94,0,0,0,47.48,8.42,494.64,3.45,13.48,25.49,1017.47,3.92,8.35,0,40.43,8.37,0,85.95,0,519.06,0,31.73,54.22,131.43,0,1.56,28.21,0,2.06,5.33,0,0,4.64,0.57,0,25.11,0,40.25,200.87,23.4,0
 96-106,0,0,0,43.38,18.24,498.02,3.5,26.99,30.19,1364.13,2.19,8.31,5.14,29.81,0,0.79,205.14,0,503.13,3.98,37.07,24.58,159.5,0,0.89,46.49,0,1.03,9.67,0,0,4.24,0.72,0,82.63,0,74.68,290.12,18.89,0
108-118,1.12,0,0,13.44,0.73,617.38,0.45,16.46,28.59,1929.94,0,9.22,0.86,47.3,1.11,0.51,320.82,4.61,498.39,0.44,16.5,31.25,176.18,1.63,1.88,36.2,0,24.19,2.46,0,0,0.75,0,0,34.34,0,62.42,263.62,13.81,0
120,0,0,0,56.54,4.2,740.2,0,20.88,41.57,3371.33,9.14,9.95,5.67,3.22,0,6.77,201.16,0,548.33,5.24,22.91,25.82,262.52,0,0,99.91,0,9.57,1.83,0,0,0,1.42,0,60.92,0,50.45,242.6,6.81,0
