stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,glial,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,12.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,30.96,0,0,0,11.02,0,0,0,0,0,0
 10-12,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.99,1.07,0,0,0,0,0,0,1.34,0,0.91,2.87,0,0,0,0,0,0,0.87,0.87,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0.62,0,0.85,0,0,0,0,0,0,0,3.55
 36-46,0,0,2.85,0.74,0,0.79,1.48,0,0,0,0,0,0,16.25,0,0,5.71,0,0,0.83,0,1.84,0,0
 48-58,0,0,2.19,0.54,0,0,0,0,0.39,0,0.99,0,0,15.06,0,0,0,0,0,0,0.53,2.81,0,0
 60-70,0,1.07,7.34,0.68,0.64,0,0,0,0,0,6.77,0,0,11.9,0,0,0,0,0,0.58,0,3.2,0,10.35
 72-82,0,0,3.33,4.24,0,1.49,0,4.96,0,0,9.62,0,1.27,17.23,0,0,0,0,0,1.22,0,1.28,0,3.49
 84-94,0,0.75,25.24,3.31,0.67,0,0,2.68,2.24,0,3.72,2.02,0,0.91,0,0,0,0,0,0,0,0,1.32,1.24
 96-106,0,0,19.03,0,0,0,0,4.55,0,0,3.93,0,0,7.74,0,0,0.84,0,0,0,0,0,0,1.23
108-118,0,0.74,5.91,0.8,0,0,0,15.31,0,0.7,3.3,0,0,9.76,0.69,0,1.13,0,0,0,0,0,0,3.56
120,0,2.54,11.82,4.92,0,0,0,21.99,0,0,0,0,0,30.29,0,0,0,0,9.57,0,0,0,0,0
