stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,15.67,62.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.56,62.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.15,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,6.52,0,0,0,0,0,0,0,0,0,27.89,0,0,0,4.23,0,0,0,0,0,0,0,0
 10-12,0,18.79,0,21.41,0,0,0,0,0,0,0,0,0,0,0,0,45.88,0,0,0,15.04,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,7.5,1.98,5.39,0,0,0,0,0,0,0,5.02,0,47.31,0.82,0,0,0.84,0,3.47,0,4.95,11.72,0,0,0
 24-34,0,0,0,0,1.42,0,5.48,0,1.81,0,0,2.27,0,0,0.95,0,64.86,0,0,0,0,1.27,0,0,0,4.59,0,0.89,0
 36-46,0,0,0,0,2.48,0,34.51,0,13.86,0,0,0,0.56,0,4.36,3.09,134.06,0,1.62,0,0,0,0,0,0,28.11,0,4.04,0
 48-58,0,0,0,0,3.93,0,36.42,0,4.54,0.56,0,0,0,0,1.54,0,81.3,0,0,0,0,0,0,0,0,12.15,0,0,0
 60-70,0,0,0,0,0,0,70.15,0,16.39,0,0,0,0,0,7.01,1.07,66.59,0,0,0,0,0,0,0,0,16.68,0,0,0
 72-82,0,0,0,0,0,0,33.32,0,6.64,0,0.88,0,0,0,9.44,1.4,23.25,0,0,0,0,0.51,0,0,0,2.67,0,0,0
 84-94,0,0,0,0,0,2.79,42.88,0,5.56,0,0,0,0,0,3.94,4.21,35.17,0,0,0.62,0,0,0,0.97,0,5.71,0,4.2,0
 96-106,0,0,0.63,0,0,3.82,33.16,0,7.53,0.56,0,0,0,0,7.99,0.96,30.9,0,1.66,2.43,0,1.22,0,0,0,0,0.82,0,0
108-118,0,0,0,0,1.18,9.95,30.89,2.76,19.46,0,0,0.56,0,0,5.77,1.46,55.47,0,2.65,0.54,0,0,0,0,0,0,0,0,0
120,0,0,0,0,18.27,0,20.85,0,43.55,0,10.68,0,0,4.94,0,0,67.22,3.99,0,0,0,0,0,0,0,1.98,0,0,2.94
