stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,5.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.24,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.68,0,0,0,0,0,0,0,0,0,0,0.92,1.29,0,0,1.36,0,0,0,0,0,2.98,0,0,0,0
 24-34,0,0,10.11,0,1.22,0,0,0,0,0,0,0,0,20.16,2.49,0,0,2.97,0,0.63,0,0,1.64,6.4,0,0,0,0
 36-46,0,0,5.43,0,0,0,0,1.84,0,0.65,0,0,0,12.22,6.08,0,0,10.37,0,0,0,0,0,1.78,0,10,0,0
 48-58,0,0,5.11,0,6.89,5.54,1.64,12.17,0,1.25,0,0,0,4.64,2.96,0,0.87,2.32,0,3.31,0.53,0,0,21.64,0,0.43,0,0
 60-70,0,0,0,0,3.12,0,5.2,176.79,0,0,0,0,0,5.64,3.96,0,0,6.82,0,0,0,0,0,26.64,0,0,0,0
 72-82,0,0,0.6,1.42,24.77,0,20.87,397.02,0.65,0,0,0,0,9.76,11.97,0,0,11.48,0,2.01,0,0,0,31.69,0.76,0.51,1.95,2.27
 84-94,0,0,6.28,1.65,2.86,0,10.84,405.75,0,0,0,0.65,0,0,3.23,0,0,6.1,1.25,0,0,0,1.53,19.84,0,2.04,0.77,0
 96-106,0,0,1.77,0,15.2,0,25.59,432.74,0,0,0.75,0,0,0,3.47,0,0,23.47,0,0.92,0,0,0,34.05,0,4.7,0.68,0
108-118,0,0,1.36,1.52,0.67,0,11.16,545.01,0,0,0.65,0.52,1.31,0.89,3.49,0.77,0,16.04,0,0,0,0,0,19.44,0,0,1.44,0
120,0,0,0,0,0,0,3.89,346.91,0,0,4.9,4.71,0,0,2.83,0,0,8.68,0,0,0,0,0,17.8,0,0,0,0
