stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,12.65,0,0,0,0,0,5.13,0,0,0,0,0,0,0,0,32.4,0,0,0,5.67,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.38,0,0,0,21.57,0,0,0,5.33,0,0,0,0,0,0,0
 14-21,0,0,0,1.96,23.64,1.02,0,11.41,0,0,0,0,1.28,0,0,0,0,0,5.54,0,0,3.54,42.55,2.93,0,0.84,2.61,0,2.59,5.57,0,0,5.43,17.57,0,0,0,2.62
 24-34,0,0,0,0,6.81,0,0,8.74,0,0,0,0.63,0,0,0,1.05,0,0,18.17,6.61,0,0,78.52,0,1.22,0,0,0,6.73,0,0,0,4.74,12.2,0,0.85,0,0
 36-46,0,0,0,0,2.01,0,0,10.11,0,1.12,0,6.61,0,0,0,0,0,0,10.58,0,0,3.42,54.82,2.94,0,1.45,0,0,3.64,0,0.86,0.79,0,13.77,0,0,0,0
 48-58,0,0,0,0,0.39,0,0,20.82,0,0,3.55,6.51,0,0,0,0.97,0.58,0,18.08,0,0,3.76,75.36,0.5,0.41,4.28,0,0,2.14,0,0.46,0,0,13.2,0,2.26,0,0
 60-70,0,0,0,0,1.07,0,0,28.65,1.72,1.4,1.6,9.87,1.38,5.25,0,0,0,0,20.04,0,0,0,50.44,2.27,0,7.93,0,0,1.33,0,0,0,0,8.91,1.22,0,0,0
 72-82,0,0,0.54,0,0,4.69,0,26.8,0,0,0,10.33,0.67,0,0,0,0,0,24.46,0,2.34,1.58,72.06,0,0,0,0,0,3.08,0,0.61,0,0,7.22,0,1.31,0,0
 84-94,0,0,0,0,0,0,0.66,16.17,0,0.8,0,8.06,1.73,0,2.15,0,0,0,18.26,0,3.1,0.75,20.77,3.47,0,0.85,0,0,3.28,0,0,0,0,1.28,0,0,0,0
 96-106,0,0,0,0,0.64,10.27,2.29,28.98,0,0,0,1.35,1.81,0,1.05,0,0,0,18.82,0,0.68,2.01,20.34,0.69,0,1.04,0,0,4.61,0,0,0,0,0,0,1.25,0.58,0
108-118,0,0,0.84,0,1.36,0,27.44,14.29,0,0,0,7.36,0.69,0,0,0.43,0,1.31,12.9,0,0,1.49,17.51,0,0,1.46,0,1.33,2.11,0,0,0,0,0,0,1.07,0,0.5
120,2.82,0,0,0,0,0,4.06,12.82,0,0,0,3.28,0,0,4.08,0,1.76,0,0,0,0,0,66.14,0,0,0,0,0,4.19,0,0,0,0,0,0,5.18,10.7,0
