stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,20.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,15.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.71,14.64,0,6.14,0,0,0,0,0,0,41.17,0,0,24.62,0,0,0,0,0,0,0
 10-12,0,4.92,0,4.29,0,0,0,0,0,0,68.57,0,0,27.05,0,0,0,0,0,0,0
 14-21,0,1.07,1.27,0,0,1.62,0,0,0,0,2.86,0.87,0,0,0,1.7,0.85,0,0,0,0
 24-34,0,0,0,4.49,0,0,0,0,0.76,0,18.85,0,0,0,0.77,0,0,0,0,1.16,0
 36-46,0,0,1.24,11.59,0,11.06,0,0,0.68,4.46,17.23,0,0,0,0,0,8.29,0,0,0,0
 48-58,0,0,6.26,11.62,0,0.45,0,0,0,7.41,20.09,0,0,0,0,0,1.3,0,0,0,0
 60-70,0,0,0,1.52,0,1.68,0,0,1.1,0.57,25.46,0,0,0,3.11,0,5.17,0,0,0,0
 72-82,0,0,1.16,1.41,0,3.6,0,0,0.66,0,10.5,0,2.93,0,0,0,3.77,0,0,0,0
 84-94,0,0,1.04,3.08,0.68,3.4,0,0,0,0,11.43,0,2.6,0,8.99,0,0,3,2.14,0,2.4
 96-106,0,0,0,0,0,0,0.69,0,1.27,0,19.12,0,1.08,0,0,0,0,0,0,0,0
108-118,0,0,2.55,1.84,0,1.14,0,0,3.41,0,20.08,0,1.43,0,0,0,0.93,0,0,0,0
120,0,0,1.81,1.01,0,0,0,1.08,6.94,1.36,69.9,0,0,0,1.68,0,5.35,0,0,0,0
