stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  5-6,30.41,270.58,0,0,0,0,0,0,0,0,0,7.74,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.22,3.94,0,18.54,0,0,29.47,0,0,0,0,0,0,0,0,328.37,15.2,140.36,0,0,0,0,0
 10-12,0,10.9,0,30.65,0,0,31.79,0,0,0,0,0,0,0,0,252.95,25.31,58.98,0,0,0,0,0
 14-21,0,0,0,0,0,0,2.22,0,0,3.9,0,0,0,3.53,2.13,49.72,1.85,0,0,0.84,0,2.43,61.47
 24-34,0,0,0,0,0,0,0.61,0,0,14.42,0,0,0,1.09,1.71,43.26,0,0,0,0,0,0,20.3
 36-46,0,0,0,0,0,0,0.64,0,0,0.77,0,0,0,0.84,0,14.38,0,0,0,0,0,0,4.72
 48-58,0,0,0,0,0,0,2.87,0,0,5.35,0,0,0,2.5,0,15.45,0,0,0,0,0,0,1.7
 60-70,0,0,0,0,0,0,3.69,0,0,9.5,0,0,0,0,0,8.26,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0.9,0,2.04,0,0.67,5.6,0,0,0,1.23,0,6.84,0,0,0,0,0,0,1
 84-94,0,0,0,0,0,0,0,0,0,12.56,0,0,0,0.85,0,9.74,0,0,0,0,0.97,0,0
 96-106,0,0,0,0,0,0.78,0,0,0,5.94,0,0,0,2.71,0,3.43,0,0,0.7,0,0,0,2.39
108-118,0,0,0,0,0.81,0,0,0.59,0,12.62,0.66,0,0,0,0,5.03,0,0,0,0,0,0,0
120,0,0,0,0,1.43,0,0,0,0,0,0,0,7.01,7.3,0,10.8,0,0,0,0,0,0,5.35
