stage,blastomeres,eye,fin.mesenchyme,glial,hatching.gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,spinal.cord,visceral.smooth.muscle
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,39.62,0,0
  5-6,77.27,0,0,0,0,0,0,0,0,0,0,0,0,19.45,0,0
  7-9,0,5.44,0,0,4.39,0,0,0,0,16.25,7.15,0,9.22,0,0,0
 10-12,11.08,0,0,0,0,0,0,0,0,29.61,0,0,25.82,0,0,0
 14-21,0,0,0,0,0,0,0,1.03,0,3.45,0,0,0,0,0.98,0
 24-34,0,0.62,0,0,0,0,0,0.73,0,7.23,0,0,0,0,0,0
 36-46,0,0,0,1.48,0,0,0,0.68,0,0.89,0,0,0,0,3.17,0
 48-58,0,2.58,0,0.57,0,0,4.68,0,0.47,8.46,0,1.18,0,0,0.6,0.5
 60-70,0,0,0,2.31,0,0,0,2.96,0,6.59,0,0,0,0,0,0
 72-82,0,5.74,1.03,0,0,0,0,0,0,3.22,0,0,0,0,0,0.84
 84-94,0,0.69,0,0,0,0,0,1.56,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0.68,0,0,0,0,0,0,0,0,0,0
108-118,0,0.56,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0
