stage,blastomeres,epidermis,mesenchyme,neural
  3-4,9.82,0,0,0
 10-12,0,0,0,7.32
 60-70,0,0,0,4.1
 72-82,0,2.04,0,1.63
 84-94,0,0,4.85,0
120,0,0,0,13.87
