stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,glial,gut,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,0,48.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.24,74.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,4.35,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,24.08,0,0,0,0,0,0
 14-21,0,0,0.94,4.49,0,0,6.3,0,0,0,0,0,0,14.85,0,0,0,0,9.57,0
 24-34,0,0,0,0.84,0,0.89,5.6,0.61,0,0,0,0.65,1.44,56.29,0,0.98,0,0,14.73,1.33
 36-46,0,0,0,0,0.62,0,1.1,0,0.61,0,0,5.46,0.57,80.89,0,0,0,2.75,29.73,0
 48-58,0,0,0,1.18,11.29,0,6.3,0,0,0,5.69,6.88,1.85,85.5,0.78,0,0,0,20.23,0
 60-70,0,0,0,0,7.88,0,1.39,0,0,0,0,8.97,0,112.57,0,0,0,0,20.43,0
 72-82,0,0,0,0,4.98,0,5.09,0,0,0.59,0,17.61,0.8,93,0,0,0,0,8.69,0
 84-94,0,0,0,0,9.18,0,0.69,0,0,0,0,2.59,4.8,68.98,0,0,0,0,3.76,0
 96-106,0,0,0,0,2.81,0,0,0,0,0,0,1.91,0,77.57,0,0,0,0,0,0
108-118,0,0,0,0,3.28,0,6.24,0,0,0,0,13.78,0,73.91,0,0,0,0,0,0
120,0,0,0,0,14.29,0,0,1.88,0,0,0,9.67,0,103.75,0,0,0,0,0,0
