stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,vascular.smooth.muscle,vasculature,xanthophores
  3-4,32.17,0,0,0,0,0,0,0,0,0,0,0,23.33,0,0,0,0,0,0
  5-6,17.21,0,0,0,0,0,0,0,0,16.64,27.67,0,0,0,0,0,0,0,0
  7-9,0,0,8.42,0,0,0,0,0,0,12.04,0,21.51,0,7.87,0,0,0,0,0
 10-12,8.94,0,0,0,0,0,0,0,0,53.52,3.14,22.09,0,0,0,0,0,0,0
 14-21,0,6.75,0.82,0,0,0.85,0,0,1.85,0,0,0,1.61,0,2.38,6.06,0,0,0
 24-34,0,4.01,1.29,0,0,0,0,0,0,1.29,0,0,3.83,0,0,0,0,1.94,0
 36-46,0,0,1.19,0,0,0,0,3.12,0,1.36,0,0,15.28,0,0,0,0,0,7.16
 48-58,0,0,25.08,0,0,0,0,6.14,0.58,0.95,0,0,2.87,0,0,0,0,0,0
 60-70,0,0,131.6,0,0,0,0,0,0,4.07,0,0,0,0,0,0,0,0,0
 72-82,0,0,44.92,1.07,0,0,0,0.91,0,0,0,0,0,0,0,0,0.85,0,0
 84-94,0,0,64.47,0,1.42,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0
 96-106,0,0,24.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,21.7,0,0,0,1.79,1.65,0.49,0,0,0,0.56,0,0,0,0,0,0
120,0,0,45.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
