stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vasculature
  3-4,74.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,48.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.32,0,0,0,0,0,0,0,0,0,8.72,8.02,0,4.2,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,23.71,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.11,0,0,0,0.82,4.6,0,0,0,0,0.84,1.06,0,6.55,0
 24-34,0,0,0.7,0,1.58,0,0,0,0,0,0,1.33,40.63,1.04,0,0,0,0,0,0.61,2.63,0.76
 36-46,0,0,0,0,3.78,3.58,0,0,0,0,7.12,0,50.97,0.64,0,0,0,0,0,0,4.24,0
 48-58,0,0.44,0,0,12.62,0.91,0,1.01,0,0,0,0.39,38.05,0,0.7,0,0,6.32,0,0,5.27,0
 60-70,0,0,0,0,38.07,0,0,1.19,0,0,1.2,0,62.64,0,0,0,0,7.44,0,0,14.73,0
 72-82,0,0,0,1.3,32.29,0,9.2,11.92,0,0,8.78,0,45.1,0,0,0,0,0,0,0,11.82,0
 84-94,0,0,0,0,25.75,0,0,3.48,0,0,0.77,0.7,22.31,0,0,0,0,0.77,0,0,3.7,0
 96-106,0,0,0,0,11.94,0,0,1.29,0,2.29,3.34,0,17.18,0,0,0,0,4.93,0,0,11.84,0
108-118,0,0,0,0.7,12.78,0,0,2.49,1.63,0,2.38,0,38.77,0,0,0,1.05,0.6,0,0,3.92,0
120,0,0,0,0,17.89,0,0,25.55,0,0,0,2.53,59.58,0,0,0,0,4.52,0,0,0,3.65
