stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,ionocyte,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,0,23.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.06,66.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.04,0,0,0
  7-9,0,0,0,0,8.75,0,0,0,3.23,0,0,0,0,0,118.06,3.27,0,21.85,0,0,0,0
 10-12,3.8,0,0,0,6.16,0,0,0,9.8,0,0,0,0,0,164.48,0,0,15.93,0,0,0,0
 14-21,0,0,1.75,13.63,1.77,0.87,0,0,0,0,0,0,0,3.41,15.75,0,0.94,0,0.83,1.65,7.96,0
 24-34,0,0,0,2.94,1.55,0,0,0.8,0,0,0,1.48,0,0,29.96,0,0,0,0,0,0.63,0
 36-46,0,0,0,2.11,1.21,0,0,0.7,0,0,0,0.64,0,1.27,6.51,0.72,0,0,0,0,4.17,0.6
 48-58,0,0,0,1.73,0,0,0.5,0.6,0,0,0,1.81,0,0,0.47,0,0,0,2.15,0,1.62,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,4.22,0,1.68,8.64,0,0.59,0,0,0,0,0
 72-82,0,0,0,0,1.56,0,0,0.81,0,0,0,0,0.78,0,4.93,0,0,0,0,0,0,0
 84-94,0,0,0,1.52,0,0.68,0,2.31,0,0,1.77,14.5,0,1.08,0.79,0,0,0,0,0,0.61,0
 96-106,0,0,0,3.56,0,1.24,0.81,1.09,0,0,0,14.67,0,1.42,3.26,0.6,0,0,0,0,0,0
108-118,0,0,0.44,5.74,1.66,2.54,0,0,0,0.44,0,8.76,0,0,22.59,0,0,0,0,0,0,0
120,0,0,0,16.53,0,0,0,3.11,0,0,0,11.87,0,2.18,3.4,0,0,0,0,0,0,1.15
