stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,visceral_smooth_muscle
  3-4,180.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,64.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,11.5,0,0,0,0,0,5.08,3.99,0,20.78,0,0,0,0,0,0,0
 10-12,10.04,0,0,0,0,0,0,0,51.16,0,0,0,0,0,54.65,23.6,0,154.01,0,0,0,0,0,0,0
 14-21,0,0.93,13.24,0,1.76,0,0,0,2.41,0,0,6.02,0,2.59,44.87,49.59,0,35.86,0,184.21,5,33.51,42.39,0,0
 24-34,0,0,1.49,1.09,0.85,0,0.61,1.62,0,0,1.61,0,0,0,11.29,1.86,0,0,0,0,0,5.42,9.57,0,0
 36-46,0,0,0.83,0,2.52,0,1.9,0,0,0,0,1.87,0,1.47,11,0,0,0,0,0,0,0,3.42,0,0
 48-58,0,0,3.62,0,0.68,0,0,0.51,0,0,0,0.45,0.5,0.66,14.6,0,0,0,5.71,0,0,0,2.57,0,0
 60-70,0,0,0,0,0,0,0,2.62,0,3.92,0,0.66,0,0,24.66,0,0,0,0,0,0,0,1.54,0,0
 72-82,0,0,0.49,1.84,5.51,0,0,6.42,0,0,0,5.68,0,0,39.03,0,0,0,0,0,0,0,16.79,0.62,0
 84-94,0,0,2.27,0,6.13,0,0,1.54,0,0,0,0.62,0,0,34.62,0,1.31,0,0,0,0,0,0,0.9,0.68
 96-106,0,0,1.41,0,1.44,0.58,1.4,4.07,0,0,0,1.42,0,0,43.05,0,0,0,1.84,0,0,0,7.08,0.62,0
108-118,0,0,0,0,2.54,0.55,0,3.28,0,0,0,3.27,0,0,45.09,0,0,0,0,0,0,0,2.41,0,0.82
120,0,0,1.12,0,0,0,0,0,0,0,0,0,4.59,0,66.56,0,0,0,0,0,0,0,0,0,0
