stage,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,22.16,3.78,0,1.15,0,0,0,0,0.81,0,0,0,3.97,0,4.99,45.57,4.81,0,0,0,10.08,1.93,0,3.35,6.04,11.53,0,0,0,0,0
 24-34,2.99,0,0,1.87,0,1.93,0,1.02,0.61,0,0,0,2.5,0,3.58,41.27,0,0,0,0,0.67,0,0.94,0,0.68,11.33,0,0,1.14,0,0
 36-46,0.64,0,0,13.99,0,0,0,2.38,0,0,0.72,0,2.35,0,1.8,56.06,1.2,1.21,0,0,1.2,0,0,1.67,0,5.7,0,0,1.04,0,0
 48-58,5.82,1.76,0,29.52,0.73,1.1,0.41,4.22,0,0.42,0,0,17.24,0,1.02,49.49,0,1.19,4.04,0,0.8,0,1.22,0,0,11.23,0,0,0,0,0
 60-70,7.21,0.56,0,150.84,0.64,0,0,4.16,0,0.57,0.59,0,8.29,0,0.58,52.81,0,3.06,1.81,0.84,0,0,0,0,0,9.44,0,0.7,0,1.46,0
 72-82,0,0,0,257.23,0,0,0.76,4.17,0.53,0,0.81,0,13.66,0,0.73,60.14,1.13,0,0.97,0,1.14,0,0,0,0,0.99,0,0,0,1.45,0
 84-94,0.71,2.01,0,257.22,0,0,0,9.13,0,4.62,0,0.74,11.88,1.01,1.23,48.36,0,2.17,0,0,6.61,0,0,0,0,0,0,0.68,3.59,0,0
 96-106,5.86,0.99,0,497.32,3.01,0,3.05,7.81,1.48,0.95,1.64,4.97,9.03,0,0.58,46.66,0,1.62,2.26,0,9.66,0,0,0,0,0,0,1.26,2.21,1.13,0
108-118,1.6,0,2.47,539.1,0,0,0,6.09,0.91,0.44,0,2.23,13.59,3.79,1.18,49.43,0,0.91,1.01,0,10.12,0,0,0,0,0.62,2.05,2.27,0,0,3.15
120,2.57,0,0,1259.71,0,4.42,0,4.03,0,5.51,0,0,33.42,0,0,52.86,0,0,0,0,9.7,0,0,0,0,4.81,0,0,21.98,0,0
