stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,9.45,194.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,81.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.44,0,11.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.27,6.66,0,0,26.5,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,16.59,0,0,0,4.05,0,0,0,0,0,5.87,0,0,0,0,0,0,0,0,0,0,116.68,0,0,0,46.56,0,0,4.36,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.49,0,0,2.8,0,0,0,2.18,0,1.02,0,0,0,0,0,0,0,0,0,1.43,38.6,0,0,0,0,0,1.15,4.44,0,2.1,8.78,14.46,0,1.08,0,0
 24-34,0,0,0,1.35,0,0,5.87,0,0,0,2.11,0,0,0.76,0,1.37,0,0,0,0.74,4.59,0,1,71.4,0,0,0,0,0,2.28,0,0,1.14,6.13,21.29,0,3.29,0,0
 36-46,0,0,0,14.01,0,0,12.94,1.3,0,0,6.92,0,0,0,2.14,0.57,0,0,0,8.43,7.89,0,1.16,74.81,0.84,1.45,0.71,0,0,0,0,0,0.58,0,18.72,0,0,0,0
 48-58,0,0,0,5.7,0,0,32.98,0.38,0.41,0,10.57,0,0,1.61,0,0,0,0,0,0.4,7.78,0.83,2.31,28.22,0,7.81,0.42,0,0,4.48,0,0,0.4,0,10.28,0,2.34,0,2.2
 60-70,0,0,0,0.67,0,0,24.81,0,1.42,0,11.71,0.81,0,5.1,0,0,0,0,0,0,15.42,0,9.08,36.06,0,0,0,0,0,0,0,0,0,0,7.7,0,1.32,0,0
 72-82,0,0,0,1.47,0,0,12.65,0,0,0.59,12.43,0,0,0,0,0,0,0,0,0,11.79,0,0.59,50.12,0,0,0,0,0,0,0,0,0,0,0,0,6.1,0,0
 84-94,0,0,0,4.62,0.56,0,37.88,0,0.66,0,12.13,0,0,0,0.73,1.2,0,5.41,1.64,0,9.62,0,1.81,22.67,0,0.76,5.27,0,0,5.04,0,1.35,0,0,7.83,0.84,2.25,2.2,0
 96-106,0,0,0,2.59,0,0,24.43,0,1.03,0,17.64,0.67,0,0,1.66,0,0,0,4.52,0,11.22,0,0,15.87,0,1.05,4.13,0,0,2.76,0,0,0,0,0,0,1.32,0,0
108-118,0,0,0,0.72,0,0.8,24.24,0,0.42,0.43,7.12,0.45,0,0,0,0,0.52,0.76,4.96,0,21.17,0.66,4.83,15.61,0,0,0,0,2.89,1.4,0,0.47,0,0,0,0,0,0,0
120,0,0,0,18.52,0,0,13.33,0,0,0,33.17,1.34,0,0,0,1.77,0,0,0,0,0,0,6.86,22.22,0,0,0,0,0,2.97,0,0,0,0,9.5,0,2.96,0,0
