stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,11.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.24,0,0,0,0,0,0,0,0,0,0,7.98,0,0,0,0,0,0,0,0,0,4.13,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,0,0
 14-21,0,0,0,0,3.45,0,0,0,0,0.89,0,0,0,0,0,0,39.02,0,0,0,0,0,1.09,0,0,0,1.53,0,1.07,0,0,0
 24-34,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,32.61,0,0,0,0,2.87,0,0,0,0,0,0,0,0,24.88,0
 36-46,0,0,0,0,0,8.79,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,0,0,0,4.21,0
 48-58,0,0,0,0,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,0,0,2.25,0,0,0,0,0,0,4.71,0
 60-70,0,0,0,0,2.63,0,0.64,3.72,0,0,0,0,0,1.63,4.23,0,0,2.52,0,0.62,0,1.63,0,0,0,0,0,0,0,0,3.69,0
 72-82,0,0,0,0,0,0,0,0,0,1.42,7.53,0,0,2.66,8.41,0,4.32,0.76,0,0,0,1.05,0,0,0,0,0,0,0,0,3.05,0
 84-94,0,0,0,0,0,0,4.16,0,0,0,3.23,0,0,1.91,51.6,0,4.25,0,6.36,0.66,0,0,0,0,0,0,0,0,0,0,0.56,8.84
 96-106,0,0,0,0,1.44,1.85,0,0,1.54,2.1,16.63,0,1.71,3.53,16.98,0,0.84,0,0,0,2.28,4.84,0,0,0,0,33.61,1.64,0,18.7,19.37,0
108-118,0,0,0.71,0.45,3.89,0,0.62,0,0,0,49.21,0,1.27,9.31,52.45,0,0,14.37,0,0,0,4.49,0,13.03,1.95,0,23.25,0,0,12.9,18.99,1.62
120,0,0,3.73,1.66,335.57,3.69,2.3,6.29,80.81,3.24,49.36,0,0,85.11,100.17,4.85,5.66,35.26,197.68,8.42,0,96.53,2.06,0,11.81,0,3684.93,0,18.87,13.5,38.37,4.69
