stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.75,0,0,0,0,0,0,0,0,0,0
  5-6,15.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.28,0,0,0,9.17,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,3.87,0,86.71,3.28,0,6.01,0,0,0,2.69,0,0,3.35,27.51,5.94,0,0,0,0,14.73,0,0,7.86,17.48,38.64,3.39,0,0,0,481.09,0.97,1.06,4.1,11.09,18.14,0,0,0,0,0
 24-34,0,1.51,0.76,14.36,2.22,0,3.04,0,2.13,0,7.96,0,0,5.01,21.68,7.97,0,0,0,19.7,5.23,1.81,0.89,3.95,148.6,0,10.34,0,0,0,217.33,0,0,0,3.4,40.97,0,0,1.01,0,0.61
 36-46,0,0,0,42.65,2.29,0,12.96,0,9.49,0,16.86,0,0,0.72,63.61,2.22,1.3,0,0,30.63,10.98,1.4,1.26,1.71,364.44,1.42,4.54,2.32,0,0,352.52,0,0,0,0,74.8,0,0,2.64,0,3.19
 48-58,0,0.84,0,48.37,0,0,68.23,1.82,1.96,0.86,29.54,0,17.18,1.3,26.79,23.56,2.48,9.45,4.53,36.57,20.05,1.81,0.53,0,372.05,0,2.8,22.92,0,0,276.53,0,0,0,0,60.92,0,0.61,7.38,0,6.12
 60-70,0,0,0,153.21,2.1,0,118.33,2.94,18.94,0,89.93,5.05,0.66,0,108.87,7,13.94,3.85,2.12,20.61,49.78,4.63,2.48,9.83,636.98,0,17.08,33.24,0,2.44,216.18,5.3,0.65,11.02,0,65.38,2.13,2.81,10.4,0,22.49
 72-82,0,0.69,0,114,7,0.78,118.98,0,4.4,0.6,67.76,5.78,0.83,0,47.17,1.7,5.95,5.37,0,6.14,60.44,7.73,4.03,0.5,492.98,0,14.04,43.46,0,4.15,91.55,0,0.6,0,0,93.78,0.81,1,5.08,3.54,12.9
 84-94,0,0,0,194.58,16,0,110.46,0,20.14,1.51,56.32,13.92,9.06,2.32,69.96,7.16,7.13,3.4,1.67,19.72,77.02,9.25,2.32,0,407.28,0,6.36,36.66,0,18.21,540.67,0,0.59,0,0,66.34,5.12,0,9.79,4.88,3.84
 96-106,0,0,0,207.51,21,0,117.18,0.57,15.8,2.81,73.95,18.24,1.32,1.9,79.59,19.37,31.93,20.65,0.87,20.72,46.6,16.41,6.9,6.72,304.12,0.73,4.48,60.86,0,5.45,537.82,0,0.88,1.18,0,83.67,2.61,1.23,14.13,4.75,32.73
108-118,0,4.94,0,272.31,8.89,2.43,119.47,4.14,64.56,3.33,70.7,50.55,13.7,3.32,133.29,48.35,100.71,10.12,8.9,69.27,60.86,53.98,3.58,3.92,529.47,4.36,3,91.94,0,20.31,665.18,0,5.2,0.94,0,52.91,15.91,5.22,13.32,7.23,122.26
120,0,1.37,0,237.38,8.63,0,211.42,1.25,27.57,19.12,117.06,12.85,0,2.78,169.79,15.48,82.92,23.36,26.14,24.45,112.69,9.75,10.35,15.46,878.18,7.34,3.98,100.27,0,4.48,259.96,0,0,0,0,64.32,2.55,7.34,19.83,14.96,33.35
