stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,gut,heart,immune,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,11.99,387.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.58,0,0,0,0,0,0,0
  5-6,0,75.64,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.98,0,0,0,27.93,0,6.03,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.6,0,0,0,0,0,0,0,0,103.8,0,0,0,29.35,7.72,0,0,23.44,4.35,0,0,0
 14-21,0,0,0,0.87,0,0,0,0,0,0,0,0,0,0,8.81,1.09,0,0,0,0,0,0.86,0,0,3.11,0,0
 24-34,0,0,0,0.68,0.66,1.52,0.9,0,0,0,0,0.75,0,0,32.94,0,1.7,0,0,0,0,0,0,0,16.76,2.68,0
 36-46,0,0,0,1.07,0,9.16,0,0,0.65,0,0,1.86,0,0,72.31,0,0,0,0,0,0,0,0,0,14.62,0,0
 48-58,0,0,0,0.43,0,24.57,5.86,0,0,0,0.88,4.34,0.49,0,86.23,0,0,0,0,0,0,0,0,0,15.24,0,6.9
 60-70,0,0,0,0,0,19.54,0.72,0,0,0,0,3.36,0,0.58,90.11,0,0,0,0,1,0,0,0,0,14.26,0,0
 72-82,0,0,0.69,0,0,36.29,2.24,0,0,0,0,5.76,0,0,74.07,0,0.52,0.9,0,0,0,0,0,0,5.01,0,0
 84-94,0,0,0,0,0,31.72,4.88,0,0,0,0,2.5,0,0,42.82,0,0,0,0,5.6,0,0,0,0,6.51,0,0
 96-106,0,0,0,0.7,2.78,30.31,7.37,0,1.6,0,0,0,0,0,51.32,0,0,0,0,0,0,0,0,0,2.71,6.22,0
108-118,0,0,0,0.72,0,12.42,3.5,1.03,0,0,0,1.86,0.75,0,27.46,0,4.9,0.54,0,0,0,0,0,0,2.33,0,0
120,0,0,0,0,0,3.83,7.05,0,0,4.07,0,8.4,0,0,41.41,0,0,0,0,0,0,0,0,0,0,0,0
