stage,eye,glial,ionocyte,lateral.line,liver,mesenchyme,neural,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord
 10-12,0,0,0,0,0,0,8.53,0,0,0,0,0
 14-21,0,0,0,0,0,0,13.71,0,0,0.87,0,0
 24-34,1.46,0,0,0,0,0,1.86,0,0,0,0,2.49
 36-46,0.7,0,0,0,0,1.65,12.11,0,0,0,0,0
 48-58,3.72,1.46,0,0,0,1.81,7.51,0.45,0,0,0,0.46
 60-70,9.07,0.62,0,0,0,0.58,8.95,0,1.68,0,0,1.31
 72-82,0.58,0,0,0,0,1.75,22.74,0,0,0,0,0
 84-94,3.39,0,0,0,0,0.6,4.69,0,0,0,0,0
 96-106,1.12,1.14,0,0,0,2.79,17.02,0,9.17,0,0,0
108-118,3.55,0,0.42,0.43,0.43,1.24,5.43,0,0.64,0,0.62,0
120,0,0,0,0,0,0,1.4,0,0,0,0,0
