stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,gut,hatching.gland,lateral.line,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.94,0,0,12.43,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.93,0,0,0,0,0.82,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.65,0,1.23,0.65,0.68,0,0,1.94,0,0.64,0.8,0,0,0
 36-46,0,1.39,0,0.67,0,0,0,0,0,0,0,1.98,5.59,0,0,0,0,0,0,0,0,0
 48-58,0,0.45,0,0,0,1.54,0.77,0.89,0,1.04,0.67,0,1.5,0,0,5.24,0,0,0,0,0.58,0
 60-70,0,0,0,0,0,0,0.66,0,1.07,0,0,0.57,1.08,0,0,6.94,0,0,0,0,0.92,0
 72-82,0,0.61,0,0,0,0,0,1.78,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0
 84-94,0,0,4.13,0,0,0,0.86,0.66,0,0,0,0,2.98,7.5,0,3.38,0,0,0,0,0,2.34
 96-106,0,0,0,0,0,0,0,6.31,0,0,0,10.08,12.25,1.26,0,2,0,0,0,0,1.24,1.59
108-118,0,1.46,0,0,0.42,0.8,0,1.66,3.37,0,0,0.5,12.17,0.73,0,0,0,0,0,0.5,0,0.6
120,0,5.5,0,0,0,2.68,0,8.79,0,0,0,0,19.24,0,0,0,0,0,0,0,0,0
