stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching_gland,liver,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord
  3-4,229.13,4284.77,0,0,0,0,0,0,0,0,223.65,0,0,0,0,0
  5-6,479.98,9992.63,36.79,0,0,10.32,0,327.06,67.01,162.32,441.51,0,0,0,0,0
  7-9,268.36,479.03,603.44,0,1732.9,453.54,0,10812.38,391.73,4228.51,207.12,65.53,0,9.82,0,0
 10-12,0,512.6,915.31,108.46,1351.71,300.35,3.73,12916.46,536,5044.8,64.06,119.18,38.97,640.13,102.23,34.68
