stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature
  3-4,28.4,520.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.48,0,0,0,0,0,0
  5-6,14.35,145.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.53,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84,0,0,0,5.33,0,6.84,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,4.12,0,0,0,0,5.1,0,0,4.42,0,2.23,0,1,0,0
 24-34,0,0,0,1.12,0,1.06,0,0,7.72,9.45,0,0,3.42,0,3.04,0,0,11.95,0,0,0,0.91,0,1.16
 36-46,0,0,0,0,0,0,0.64,0,15.52,4.37,12,0,0,0,4.08,4.44,0,2.1,0,0,0,4.19,0,0
 48-58,0,0,0,0,0.7,0.97,0,0,30.42,0.46,0,1.32,0,0,8.64,0.56,0,1.77,0,0,0,0.56,0,1.27
 60-70,0,0,0,0,1.51,4.13,0,0,37.81,1.08,0,0,0,0,9.61,0,0,0,0,0,0,0,0,3.66
 72-82,0,0,0,0,3.28,0,0,0,24.16,1.05,0,0,0,0,8.53,3.57,0,0.49,0,0,0,0,0,0
 84-94,0,0,1.48,0,6.52,0,0.57,1.19,20.29,0.83,0,0,0,0.76,0,0,0,9.47,0,0,0,0,0.9,0
 96-106,0,0,0,0,0,0,0,0,29.88,0,0,2.81,0,0,1.5,5.19,0,8.31,0,0,0,0,0,1.36
108-118,0,0,0,0,11.37,0.62,1.39,0,36.02,0,0,0,0,0,5.36,0.81,0.48,5,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,56.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.88
