stage,axial,blastomeres,endoderm,erythrocytes,eye,fin.epithelia,gut,hatching.gland,iridophores,liver,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord
  3-4,935.25,18443.68,0,0,0,0,0,0,0,0,0,0,0,0,707.02,0,0,0,0,0
  5-6,353.34,5570.48,10.49,0,0,0,0,31.66,0,0,0,284.52,8.9,38.19,110.3,0,0,0,0,0
  7-9,71.74,38.91,28.95,0,68.98,0,0,33.52,0,0,0,878.62,50.13,233.68,0,56.69,0,0,0,0
 10-12,0,0,7.23,5.97,12.91,0,0,3.83,0,0,0,179.16,37.07,81.04,0,22.67,0,0,0,0
 14-21,0,0,0,0.98,0,0,0,0,0,0,0.99,5.92,1.05,0,0,0,0.81,0,0.82,1.79
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62
 36-46,0,0,0,0,0,2.46,0,0,0,0,0,13.25,0,0,0.78,0,0,0,0,0
 48-58,0,0,0,0,1.34,0,0,0,0,0,0,12.18,0,0,0,0,0,0,0,0.95
 60-70,0,0,0,0,2.73,0,0,0,0,0,0,2.98,0,0,0,0,0,0.63,0,0
 72-82,0,0,0,0,3.98,0,1.11,0,0,0,1.2,8.03,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.76,0,3.73,4.51,0,0,0,0,0,0,0,0
 96-106,0,0,0.86,0,0,0,0,0,0,0,0,7.86,0,0,0,0,0,0,0,0
108-118,0,0,0,0,7.92,0,0,0,0,0.95,0.83,3.41,0,0,0,0,0,0,0,0
