stage,axial,blastomeres,endoderm,epidermis,erythrocytes,fast.muscle,glial,gut,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,0,35.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.2,75.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,8.61,3.67,0,0,0,0,0,0,0,0,97.02,0,19.67,0,0,0,0
 10-12,0,0,15.07,0,0,0,0,0,0,0,0,74.27,4.18,19.5,0,0,0,0
 14-21,0,0,0,0.87,0,0,0,0.98,0,0,0,0.96,0,0,0,2.19,0.97,0
 24-34,0,0,0,0,0.84,0,0,0,0,0,0.91,3.61,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.65,0,0,1.57,0,0.93,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.48,1.11,0,0,0,0,0.81,0
 60-70,0,0,0,0,0,0.64,0.61,0,0,0.65,0,2.58,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,0,0,1.37,1.87
 96-106,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.08,0,0,0,0,0,0,0,1.35,0,0,2.44,0,0,0
