stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,4.59,44.78,10.4,0,28.38,0,0,0,9.12,1.9,1.23,0,1.88,0,0,0,0,28.81,0,0,22.38,403.02,13.53,3.35,4.51,9.04,0,18.46,12.11,1.76,0,18.06,124.5,0,0,2.82,0,0
 24-34,0,1.93,25.75,5.37,0,125.65,0,3.42,0,22.58,1.88,4.6,1.93,3.42,0.64,1.66,1.32,0,97.52,4.95,0,37.65,1128.81,5.15,10.17,7.05,0,0,32.12,0,2.65,0,10.33,211.36,0,0,25.6,0,2.22
 36-46,1.35,0,24.3,1.33,0,308.94,1.8,1.24,0.82,31.34,0.72,1.85,1.59,0.79,0,0,0.62,0,63.57,0,0,26.49,914.9,4.09,5.11,6.62,0,8.24,43.31,0,0,0,0,195.8,0,0,10.5,0,10.33
 48-58,0,0.5,19.86,4.47,0,469.46,0,0.4,1.57,34.68,0,0.98,0.8,0.38,0.88,1.86,0.69,0,95.48,2.63,2.11,15.9,570.92,9.39,0.57,5.74,0,0.56,18.04,0,0,2.86,0,88.38,0,0,11.97,0,0.84
 60-70,0.86,0,27.74,0,0,375.77,0,2.61,11.04,51.67,0.65,0,8.23,5.28,0.67,2.69,0,0,73.86,1.41,4.2,20.34,349.39,2.78,1.43,3.4,0,1.9,23.19,0,3.04,0,0,38.96,0,0.63,10.4,0,3.58
 72-82,0,0,7.97,22.11,0,138.32,0,0,3.93,55.5,2.4,0.5,3.76,2.99,0,3.8,1.64,1.14,89.55,2.26,1.49,12.08,176.35,2.2,1.65,2.91,0,0,6.02,0,2.67,0,0,5.17,6.43,0,15.69,0,0
 84-94,0,0,9.43,15.49,1.17,80.34,0,2.26,2.08,27.23,6.69,3.65,2.67,0,0.55,1.69,0,9.5,98.2,2.2,14.38,7.44,151.11,2.56,1.84,4.42,0,0,29.47,0,2.75,0,0,5.66,12.78,1.79,19.83,0,9.84
 96-106,0,0,7.12,17.34,1.07,68.8,0,0,0.59,53.68,3.45,0.78,10.14,0,3.27,0,2.52,0,45.78,2.77,3.66,2.2,129.51,0,0.57,2.83,0,0,27.06,0,2.07,0,0,1.8,3.77,0,11.61,0,0.6
108-118,0.97,0.74,16.85,18.6,0,77.67,0,2.7,0,30.52,3.05,0,13.01,7.36,3.3,1.54,3.24,7.89,51.02,0,0,10.9,148.19,3.56,3.71,8.83,0,0,25.25,0,1.31,0.63,0,0.44,6.48,0,20.58,0,4.07
120,0,0,25.79,26.83,0,122.72,0,4.27,11.96,77.9,5.36,0,23.02,0,1.62,2.89,0,7.9,77.92,0,0,2.74,143.77,4.72,3,5.77,0,0,18.33,0,1.13,0,0,0,0,0,12.94,8.36,0
