stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,gut,hatching_gland,ionocyte,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  3-4,18.01,322.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0,0,0,0,0,0
  5-6,32.42,384.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0,0,0,0
  7-9,0,0,0,11.5,0,0,21.86,0,0,0,9.02,0,0,0,0,220.49,13.27,0,0,55.27,0,0,0,0,0,0,0
 10-12,0,11.95,0,0,0,0,10.3,0,0,0,0,0,0,0,0,90.82,0,0,0,30.75,0,0,7.88,0,0,0,0
 14-21,0,0,0,0,0.8,1,0,0,0,0,0,0,0,0,0,3.97,0,0,0,0,0,1.05,0,3.47,1.92,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.62,0,1.98,0.6,15.11,0,2.56,0,0,2.59,0,0,0,1.53,0,1.05
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,10.04,0,0,0.81,0,0,1.21,0,1.44,0,0,0,0,0,0
 48-58,0,0,0,0,1.59,0,0.81,0.88,0,0,0,0,0,0,0,8.16,0,0,0,0,0,0,0,0,1.27,0,0
 60-70,0,0,0,0,5.04,0,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,2.87,0,0,0,0,0,0
 72-82,0,0,0.53,0,0,0,1.6,0,0,0,0,0,0,0,0,2.43,0,0,0,0,0,0,0,0,0,0.97,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,0.94,0,1.05,0,0,0,0,2.5,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,3.03,3.5,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0.64,0,0,0,0,0,0
120,0,0,0,0,1.14,0,0,0,14.1,1.88,0,0,0,0,0,19.84,0,0,0,0,1.1,0,0,0,0,0,0
