stage,glial,ionocyte,mesenchyme,neural,olfactory,otic,pronephros,spinal.cord
 10-12,0,0,0,3.74,0,0,0,0
 14-21,0,0,0,0.97,0,0,0,0.87
 24-34,0,0,0,6.33,0,0,0,0
 36-46,0,0,0,1.74,0,0,0,1.82
 48-58,0.48,0,0,3.54,1.3,0,0,0
 60-70,0,0,0.7,1.86,1.42,0,0,0
 72-82,0,0,1.71,6.45,0.74,0,0,0
 84-94,2.51,0,0,2.58,3.34,0.59,0.93,0
 96-106,0,0,0,0,0.97,0.62,0,0
108-118,0.48,0,0,1.61,0.92,0,0,0.98
120,0,1.63,0,0,0,0,0,0
