stage,axial,blastomeres,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
  3-4,0,14.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,8.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,11.97,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.45,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79,0,1.58,0,2.91,0,0,0,2.68,0
 36-46,0,0,0,0,0,0,0,0,0,0,1.34,0,0,25.5,0,0.69,0,0,0,0,0.61,6.44,0
 48-58,0,0,2.22,0.89,0.63,0,0,0,0,0,2.86,0,0.66,55.01,0,2.05,0,0,0,0,0.56,4.74,0
 60-70,0,0,0,30.43,3.43,0,1.96,10.83,0,0,10.18,0,0.59,95.63,3.91,3.06,0,0,0,0,11.27,4.9,0
 72-82,0,0,1.36,96.02,15.12,0,4.78,0,0,0,9.86,6.54,0.56,106.89,0,2.65,0,1.82,0,0,0.91,18.7,0
 84-94,0,0,0,18.2,16.02,2.08,6.42,0,0,0,5.97,0,1.21,88.05,0,3.73,0,0,1.38,0,2.23,10.72,0
 96-106,0,0,0,31.33,24.34,1.01,6.69,0,0,0,14.75,0,4.38,43.1,0,6.51,0,9.38,0,0,9.52,7.16,0.8
108-118,0,0,0,43.36,26.77,4.61,9.17,1.9,0.43,0.46,13.34,0,1.95,65.58,0,7.78,0.44,1.22,0,0,1.73,12.89,0
120,2.82,0,0,49.07,23.73,4.69,19.34,0,0,0,22.96,0,0,130.39,9.89,3.06,0,9.99,0,0,0,1.96,0
