stage,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,liver,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,4.82,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.75,0,0,0,0,0
 14-21,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,4.39,0,0,0,0,0,0.61,0
 36-46,0,2.87,0,9.34,0,3.07,0,0,0,0,0.57,0,23.43,0,0,0,0,0,0,0
 48-58,0,0,0,3.02,0,0,0,0,0,0,0,0.81,15.07,0.64,0,0,0,0,0,2.77
 60-70,0.86,0,0,0.73,0,1.6,0.91,6.07,0,0,2.54,0,10.48,0,0,0,0,0,0,0
 72-82,3.36,0,0,3.5,0,0,1.27,14.2,0,0,1.2,0,5.9,0,0,0,0,0,0,0
 84-94,16.25,0,0,6.86,0,0,1.87,31.24,0,0,0,0,17.68,0,0,0,1.01,0,0,0
 96-106,17.09,0,1.55,0,0,0,0,68.08,0,11.55,0,0,7.23,0,0,2.14,4.81,0,0,0
108-118,6.63,1.57,0,1.63,2.36,0,0,75.53,2.74,3.69,2.27,0,4.97,0,0,0,1.97,0,0,0
120,0,0,1.07,1.85,0,0,0,132.58,0,0,0,0,33.48,0,0,0,0,0,0,0
