stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,18.51,162.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.57,0,0,0,0,0,0,0,0
  5-6,0,6.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.61,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,91.82,0,0,0,0,0,0,0,0,0,0,45.12,79.4,0,0,11.73,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,58.81,2.39,6.38,0.94,0,0,0,0,0,0,0,18.18,0,0,0,0,0,0,0,2.51,0.95,0,19.09,11.83,0.98,0,0,0,0,1.23,0,1.32,13.02,0,0,0,0
 24-34,0,0,50.82,0,1.43,0,0,2.88,0,2.14,0,0,0,0,0.6,0,0,0,0,0.69,0,2.37,0,0,12.42,0.69,0,0,0,0,0,0,0,0.7,8.03,0,0,0,0
 36-46,0,0,63.15,0,0,0,0,7.45,0,0,6.5,0,0,0,0,0,0,0,0,1.24,0,0.72,0,0,37.95,0,0,0,0,0,0,0,0,0,4.79,0,0,0,0
 48-58,0,0,49.09,0,0.4,0,0,8.63,0,0,0.44,1.44,0,0,0,0,0,0,0,17.96,0,4.4,0,0.64,63.94,0,0,0,0,0,0,0,0,0,18.07,0,0,0,0
 60-70,0,0,29.68,0,0,0,0,11.78,0,0,2.98,0,1.25,0,0,0,0,0,0,66.76,0,5.43,0,0.99,38.68,0,0,0,0,0,0,0,0,0,16.04,0,0,0,8.13
 72-82,0,0,99.59,0,0,7.11,0,23.66,0,2.09,7.98,9.35,14.66,0,0,0,0.71,0,0.99,283.43,0,12.03,0,0,113.4,0,1.42,6.69,0,0,2.83,0,0,0,10.66,0.95,0,1.65,6.38
 84-94,0,0,93.72,0,1.89,1.13,0,23.14,0,0,0.85,2.37,23.05,0,0,0.55,0,0,0.66,677.63,0,28.37,0,2.27,98,0,0,0,0,0,4.83,0,0,0,11.3,0,4.15,0,7.53
 96-106,0,0,93.1,0,1.83,12.32,1.06,19.67,0,1.58,0,6.53,33.65,0,0,1.02,0,0,0,157.85,0,8.45,0,0.81,69.64,0,0,1.48,0,0,2.39,0,0,0,6.44,2.08,4.17,0,0.8
108-118,0,0,90.65,0.9,4.33,4.27,4.39,37.56,2.74,0,0.64,7.74,17,0,0,0.48,0,1.91,1.77,1773.08,1.02,26.43,0,1.86,153.47,0,1,0.51,0,1.96,8.21,0,1.83,0,5.51,0.6,0,1.28,7.57
120,0,0,111.12,0,0,2.24,0,17.36,0,0,0,0,23.36,0,0,0,0,0,0,216.65,0,6.53,0,11.46,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
