stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,immune,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,11.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.66,16.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.16,61.07,0,0,0,0,0,14.25,0,0,0,0,0,0,32.57,0,0,23.22,0,0,0,0,0,0,0,0,0
 10-12,0,14.29,127.06,0,0,0,0,0,5.59,0,0,0,0,0,0,129.29,0,0,22.2,0,0,37.81,0,0,0,0,0,0
 14-21,0,0,5.61,30.39,20.08,0,1.11,4.92,0,0,0,0,0,3.08,3.28,22.07,0,0.88,4.66,0,0,11.54,0,14.93,0,5.32,0,0
 24-34,0,0,0,0,1.42,1.25,1.15,0,0,0,0,0,0,8.64,6.96,26.11,1.06,0,0,0,0,0,0.63,17.75,0,15.16,0,0
 36-46,0,0,0,0,0,0.96,5.49,0,0,0,0,0,0,10.3,1.35,25.21,0,0,0,0,0,0,0,0.79,0,0.78,0,0
 48-58,0,0,0,0,0.45,10.07,23.91,0,0,0,0,0,1.66,4.59,0.37,64.39,0,0,0,0,0,0,0,6.21,0,2.12,0,0.56
 60-70,0,0,0,0,0,7.85,29.58,0,0,1.47,0,0,1.05,3.83,0.92,48.23,0,0,0,0,0,0,0,17.44,0,4.75,0,0
 72-82,0,0,0,0.92,0,29.77,17.82,0,0,0,2.06,0,0,14.32,2.54,93.74,0,0,0,0,0,0,0,7.53,0,3.67,0,0
 84-94,0,0,0.61,0,0,6.7,26.4,0,0,0,4.96,0,0,8.12,0.87,92.34,0,0,0,0,0,0,0,4.38,1.26,0.69,2.35,7.87
 96-106,0,0,0,2.24,0.68,28.23,15.82,0,0,0,2.04,0.93,0,3.29,2.69,96.5,0,0,0,3.58,0,0,0,3.12,0,2.55,0,8.85
108-118,0,0,0,0,0,30.84,9.48,0,0,0,2.72,0,0.78,10.27,0.92,82.26,0,0,0,0.76,0,0,0,2.98,0,7.04,0,0
120,0,0,0,0,0,32.15,17.45,0,0,0,3.58,0,0,3.69,1.41,113.05,0,0,0,0,4.52,0,0,8.86,0,4.61,0,0
