stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,227.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.19,52.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.48,0,0,0,0,0,8.08,0,0,0,0,0,0,0,0,0
  7-9,5.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6,0,0,0,13.23,0,3.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.51,0,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,8.62,1.8,0,1.69,0,0,0,0.87,1.14,0,0,7.56,0,0,10.86,0,0,6.08,80.27,0,0.87,0,0,0,3.58,9.88,1.01,0,3.82,28.37,0,0,0,0
 24-34,0,0,0,9.51,0,0,6.4,0,0,0,0,0,0,0,0.79,0,0,5.4,0,0,3.64,73.36,1.14,3.26,0,0,0,1.76,0,2.04,0,0,28.61,0,0,0,0
 36-46,0,0,0,16.12,0,0,7.65,0,0,0,4.16,0,0,0,0,0,0,4.1,0,0,5.98,58.09,0,3.24,4.46,0,0,2.37,0,0,0,0,5.2,0,0,3.26,0
 48-58,0,0,0,2.96,0,0,14.07,0,0.4,0.56,3.4,0,0,0,0,1.9,0,3.49,0,1.06,1.96,35.7,0,0,0,0,0,2.93,0,0,0,0,6.29,0,0,0.68,0
 60-70,0,0,0,1.68,0,0,25.86,0,0,0,4.27,0,1.21,0,0,0,0,17.77,0.62,0,0,41.95,0,3.82,2.66,0,0.84,3.12,0,0,1.84,0,2.59,0,0,0,0
 72-82,0,0,0,1.79,0.83,0,31.59,1.52,0,1.49,5.4,0,0,0,0,3.06,1.56,9.2,0,0,0,34.23,0,1.05,0,0,0,5.5,0,0,0,0,6.93,0,0,4.64,0
 84-94,0,0,1.29,0,0,0,15.25,0,0,0.59,11.52,0,0,0,0,0,2.91,11.57,0,0.65,7.59,40.93,0,0.93,0,0,0,11.32,0,0,0,0,3.77,0,0,0.75,0
 96-106,0,0,0,2.13,0,0,23.71,0,0,0,7.26,1.8,0,0,0.71,4.96,0.57,11.84,0,1.79,0.71,37.75,2.63,0.67,0,0,0,9.77,0,0,0,0,0,0,0,0,3.75
108-118,0,0,0,0.91,2.71,0.98,8.34,0,0,0.47,5.03,0,0,0.65,0.47,0,1.02,12.2,0,3.83,3.99,39.46,0,5.48,1.58,0,0,4.87,0,0,0,0,2.6,0.68,0.67,6.83,0
120,0,0,0,1.06,0,0,1.86,0,0,0,24.16,2.35,0,3.42,0,0,0,12.17,0,0,8.28,43.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
