stage,epidermis,eye,fast.muscle,glial,gut,heart,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,slow.muscle,spinal.cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0
 24-34,0.6,0,0,0,0,0.67,0,0,0,0,0,2.45,0,0,0,0.96,0
 36-46,0,0,6.23,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0
 48-58,0,1.13,0.53,9.74,0,0,0,0,0,0,0,1.99,0,0,0,1.06,0
 60-70,0,0,2.06,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0
 72-82,0,2.69,1.44,0,0,0,0,0,0,0,6.78,6.77,0,4.41,0,4.5,0
 84-94,0,0,0.66,3.28,0.58,0,1,0,3.38,0,0.67,2.21,0,0,0.72,0,1.69
 96-106,0,5.7,4.31,0,0,0,0.67,0,6.7,0,0.75,20.71,1.9,0,0,0,0
108-118,0.61,2.41,4.68,0,0,0,0,0.48,2.72,0,1.85,11.37,0,0.6,0.49,0,0
120,1.06,0,1.36,6.79,0,0,0,0,1.28,2.47,0,0,0,0,0,0,0
