stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,80.76,1151.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.63,0,0,0,0,0,0,0,0,0,0,0
  5-6,129.49,700.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.09,0,0,0,7.11,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.88,31.1,0,36.96,0,0,0,392.37,0,0,0,0,0,50.63,0,0,0,0,0,0,0,0,0,0,718.01,3.21,0,0,73.93,0,0,18.99,0,0,0,0,0,0,0,0,0,0
 10-12,0,103.7,0,29.89,0,0,0,1293.86,0,0,0,0,0,0,0,0,0,0,5.32,0,0,0,0,0,2753.16,55.6,0,0,164.09,0,0,0,0,27.18,0,3.11,4.47,0,0,0,0,0
 14-21,0,0,9.05,0,39.73,0.84,0,112.77,0,0,0,223.54,0,0,4.45,0,0.81,0,0,0,20.17,0,0,3.3,2928.16,9.2,11.81,3.67,14.23,0,0,0,16.37,2.86,3.48,20.39,689.8,0,0,0,0,0
 24-34,0,0,11.9,7.28,20.24,0,0,123.34,0,2.13,0.95,273.76,2.49,0,12.73,2.67,0,0,3.48,0,52.22,0,0,34.93,12698.98,4.49,27.54,9.29,0,0.99,24.19,0,0,10.22,0.95,7.02,1304.84,0,0,19.32,0,1.12
 36-46,0,0,5.2,0.74,11.4,0,0,175.52,0,2.25,0,647.84,0,1.53,2.38,0.76,1.77,0,1.19,6.13,66.02,0,2.11,35.07,15426.16,4.01,22.39,8.8,0,0,17.98,0,0,18.33,1.26,0.8,1664.1,0,0,1.04,0,4.21
 48-58,0,0,3.11,3.13,14.13,0,0,383.1,1.95,4.36,1.05,840.3,7.68,0,1.67,0,0.49,6.72,3.98,0,177.68,0.65,1.09,50.12,9128.14,5.81,22.02,1.35,0,1.97,22.34,0,0,1.32,0.92,0,1354.52,0,0,0.92,0,13.8
 60-70,0,0,1.95,2.79,14.35,0,0,861.57,0,0,1.71,571.81,6.35,0,10.19,0,0,0,9.24,0,261.74,0,10.01,12.6,5938.01,0,12.48,0,0,1.47,2.7,0,0,5.01,0,0,787.32,0,0,0,0,6.18
 72-82,0,0,12.93,3.31,24.94,2.42,1.86,1529.64,0.55,0,3.89,467.07,16.53,0.6,0.89,6.18,0,3.25,11.48,0,314.74,0,7.48,24.79,4681.93,0,10.36,0,0,0,3.89,0,0,5.48,0.77,0,520.88,0,5.32,8.62,0,3.38
 84-94,0,0,2.7,0,19.61,3.31,0,1083.54,1.09,1.4,0,258.43,9.64,0,0,4.47,0,1.59,1.84,0,255.8,0,0.66,19.97,3142.63,0,8.66,0,0,6.05,7.28,0,0,4.83,0,0,377.91,0.9,4.45,11.45,4.56,0
 96-106,0,0,6.19,0,17.17,6.11,2.47,1166.27,0.61,9.66,12.84,279.4,3.44,0,2.51,1.69,0,0,11.54,0,184.17,4.31,2.79,8.72,2581.53,0,22.22,3.42,0,1.51,9.51,3.82,0,5.2,0,0,176.6,1.68,2.47,1.25,1.63,0
108-118,0,0,7.8,0,23.77,9.11,15.66,1048.71,0.45,2.46,1.04,318.37,0.56,0,0,6.85,0,1.35,13.17,0,226.53,0,1.32,14.85,2705.81,0,8.3,2.87,0,2.26,1.78,0,0,8.39,0.46,0,127.15,0,5.72,1.69,1.05,0
120,0,0,5.33,0,28.8,30.68,3.6,994.18,1.76,3.44,0,571.59,8.95,0,0,1.18,0,0,4.68,0,290.91,0,8.92,12.5,3163,6.76,14.59,3.9,0,0,7.68,0,0,7.34,1.54,0,121.21,0,0,14.62,3.35,0
