stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature
 14-21,0,17.23,101.78,0.96,4.37,0,0,12.98,7.44,0,0,4.95,16.87,0,8.72,211.77,0,0.93,1.78,1.88,1.55,5.9,7.73,0.87,1.83,345.05,0,0,0
 24-34,0.67,4.49,48.04,0,0.94,0,0,11.83,3.35,0,0,1.34,17.35,0,8.61,283.12,0.7,4.43,3.14,0,4.86,0,6.6,1.49,4.11,146.21,0,0,3.5
 36-46,0,0.61,42.62,0,2.48,3.07,2.67,3.41,1.88,0,0,0.66,4.08,0,2.67,107.9,0,0.87,0,0,5.07,0,7.39,0,0,80.9,0,0,0
 48-58,0,0,30.61,0,4.17,1.34,1.64,1.16,10.3,0,0,0,2.67,0,1.73,24.06,6.45,3.06,0.39,0,2.14,0,0.61,0,0,34.21,0,0,0
 60-70,0,0,23.08,0,12.15,1.84,0,0,3.08,0,3.83,6.25,9.07,0,0.82,24.36,0,1.27,0,0,0,0,1.06,0,0,5.86,0,0,0.66
 72-82,0.98,0,27.44,1.62,6.69,0,0,1.33,16.58,2.79,0.79,0,14.7,0,0,24.95,0,2.42,1.42,0,0,0,0,0,0,5.91,2.73,0,1.67
 84-94,1.26,0,82.41,3.38,12.59,1.48,0.59,2.53,41.73,3.46,0,0,4.62,0,0,25.82,0,0,7.92,0,0.75,0,2,0,0,14.17,3.54,0,0
 96-106,4.16,0,70.79,0,8.29,1.19,0,0,43.04,0.97,3.38,0,2.76,0,0.7,27.74,0,2.78,0,0,5.94,0,1.37,0,0,1.78,1.36,0,0
108-118,0,0.49,98.91,0.9,11.11,5.91,0,0.54,21.01,0.52,0.51,1.35,7.83,0,0,25.91,0,1.84,0,0,0.6,0,5.27,0,0,1.17,4.16,0,2.93
120,0,3.17,94.79,15.72,0,8.29,0,0,20.38,1.66,0,0,0,2.09,0,30.75,0,0,4.53,0,1.33,0,11.3,0,0,0,13.5,1.52,0
