stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,xanthophores
  5-6,0,15.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.87,0,0,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.76,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,99.62,0,0,0,0,0,1.66,2.26,41.17,0,0,0,0,48,0,1.05,119.88,0,0,0
 24-34,0,0,0,0,0.87,0,4.37,0,0,214.49,0,0,0,0,0,1.44,3.13,96.61,3.09,8.49,0,1.4,55.46,0,0,238.15,0,0,0
 36-46,0,0,0,0.56,0,0,1.66,0,0,180.34,0.73,0,0,0,3.95,0.59,0.78,117.14,3.63,14.98,0,9.64,18.92,0,0,277.95,0,0,0
 48-58,0,0,0,0,2.36,0,11.4,0,0,270.09,0,0,5.25,3.69,0,2.1,0.39,86.01,7.75,7.24,0,0,3.92,0.5,0,295.67,0,0,0.47
 60-70,0,0,0,0,0,0,16.18,0,0,224.14,2.6,0,0,6.99,0,0,0,66.36,1.27,15.09,0,0,2.3,0,0,148.75,0,0.65,0
 72-82,0,0,0.98,0,0,0,15.34,1.19,0,210.18,0,0,0.75,27.11,0,5.51,0,50.83,2.83,44.32,0,0,2.01,0,0,73.2,0.56,0,0
 84-94,0,0,0,0,1.82,0.65,12.52,0,0.89,157.42,0.82,0.56,0,17.35,0,8.2,0.68,21.56,2.37,96.34,0,0,8.43,0,0,96.51,0,0,0
 96-106,0,0,0,1.61,0.67,0,20.11,0,0,138,0,0,0,51.01,0,3.05,0,23.02,4.37,88.04,0,1.96,4.73,0,0,74.41,0,0,0
108-118,0,0,0.91,1.19,1.1,0,34.91,0,0,109.72,1.13,0,0,26.61,0,0,0,14.83,0.99,72.39,0,0,11.13,0,0,26.41,0,0,0
120,0,0,0,0,4.93,0,3.76,0,0,34.97,3.8,0,0,41.59,0,15.95,0,28.42,7.6,47.97,0,2.59,41.89,0,0,101.2,0,1.52,0
