stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,periderm,spinal.cord,taste,vasculature
 14-21,0,0,1.72,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,1.04,33.46,0,2.22,0,4.95,0,0
 24-34,0,0,1.23,0,0,7.71,0,0,3.15,0,0,0,0,0.66,0,0,0,0,145.63,0.61,0,0,24.76,0,0
 36-46,0,0.84,0,0,0,17.19,0,0.8,3.22,0,0,0.63,0,0,1.14,3.26,0.57,0.98,105.55,0,0,11.33,39.76,0,0
 48-58,0,0,1.28,0,0,74.67,0,0,2.35,0,0,0,0,0,0.83,0.93,0.55,0,66.47,0,0,4.95,5.64,0,0
 60-70,0,0,2.4,0,0,69.6,0,0,16.14,0,0,0,0,0,0,5.2,0,0,28.81,0,0,7.61,1.25,0,0
 72-82,0,0,0,0,0,71.5,0,0,14.08,0,2.89,0,0,0,0,6.2,0,0,36.9,0,0,0,2.91,0,0.73
 84-94,0,0,1.7,0,0,56.73,0,0,1.2,0,3.14,0,0,0,0,8.39,0,1.76,16.32,0,0,2.74,0.69,0,0
 96-106,0,0,2.37,5.59,0,35.24,0,0,11.62,0.83,8.84,4.79,1.32,0,0,2.15,0,0,20.9,0,0,1.11,5.18,0.61,0
108-118,0,0,0,0,17.25,21.85,0.64,0,15.35,0,15.34,0.45,0,0,0,4.85,0.62,0,31.65,0,0.66,0,0,0.42,1.51
120,2.96,0,1.39,0,3.42,62.87,2.85,0,11.08,0,18.21,3.26,0,0,0,0,0,0,37.87,0,0,0,0,0,0
