stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,heart,immune,ionocyte,mesenchyme,muscle,neural,paraxial.mesoderm,periderm,somites,spinal.cord,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.58,0,0,0,0,0
 14-21,0.82,0,3.52,0,0,0,0,0,0,0,0,13.56,0.85,0,1.06,0,1.85
 24-34,0,0.62,0.72,0,0,0,0,0,0,0.7,0,9.54,0,0,0.67,2.32,0
 36-46,0,0,0,0.68,0,0,0,0.93,0,5.08,0,7.69,0,0,0,0,0
 48-58,0,0,0,0,0.51,0.98,0,0,0,2.67,0.76,3.5,0,0,0,2.25,0
 60-70,0,0,1.85,0,0,0,0,0,0,2.9,0,16.4,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0.83,0,3.9,0,0.87,0,0,0,0,0
 84-94,0,0,0,0,0,0,0.8,0.93,0,1.46,0,0,0,0.91,0,0,0
 96-106,0,0,0,0,0,10.74,0,1.56,0,0,0,0,0,0,0,0,0
108-118,0,0,2.39,0,0,0,0,0.7,0.93,1.3,0,1.04,0,1.94,0,0,0
