stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,62.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.7,21.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.96,0,0,0,12.99,6.67,0,0,0,0,0
 14-21,0,0,1.2,0,0,0.94,0,0,0,0,0,0,0,0,0,0,2.77,0,0,0,0,14.67,0,2.5,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.63,0.6,0.6,0,1.12,0,1.59,1.56,11.57,0,0,0,0,8,0,0.63,0,0,0
 36-46,0,0,0,0,0,0,1.3,0,0,6.57,0,0,0,0,0,0,9.91,9.74,0,0,0,25.25,0.65,2.26,0,0,0
 48-58,0,0,0.71,0,0,0.94,0,1.16,0.64,11.73,0,2.03,0,0,0.51,0,13.86,0,0,3.7,0,12.36,0,1.19,0,0,0
 60-70,0,0,0,0,0,15.94,0,0,0,10.03,1.37,0,0,0,0.83,0,31.02,0,0,1.58,0,23.72,0,0,0,0,0
 72-82,0,0,1.69,0,0,0.96,0,3.32,1.84,19.02,0,0,0,0,3.79,0,7.1,0,0,1.46,0,21.49,0,3.41,0.68,0,0
 84-94,0,0,4.33,0,0,12.28,5.49,0,3.14,21.26,0,0,0,0.59,6.78,0,14.76,0,0,0,0,61.81,2.26,0,0,0,0
 96-106,0,0,2.36,0,0.56,13.6,0,1.72,6.75,19.96,2.54,0,0.92,0,2.69,0,22.58,0,0.7,0,0,49.55,0,0,0.72,0,1.67
108-118,0,0,1.76,0,1.2,7.43,1.33,2.59,4.12,31.2,4.15,0,0,3.78,6.68,0,8.05,0,0,0,0,43.99,0,0.47,0,0.91,0
120,1.19,0,7.44,1.16,0,16.95,0,0,14.37,74.81,4.02,0,0,0,2.15,0,1.5,0,3.8,3.63,0,56.39,0,0,0,1.51,0
