stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,1047.26,18457.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653.05,0,0,0,0,0,0,0
  5-6,1260.6,13552.88,0,10.71,0,0,0,0,0,0,0,35.23,0,0,0,0,0,0,0,0,313.19,0,0,0,52.12,0,162.78,0,0,0,0,0,0,0
  7-9,78.32,36.37,0,46.55,0,0,42.01,0,0,0,0,33.08,0,0,0,0,0,0,0,0,717.46,32.64,0,0,269.9,0,7.66,7.87,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.28,0,0,0,10.52,0,0,0,0,0,0,0,0,0
 14-21,0,0,2.14,1.44,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82,0,0,0,0.87,0,2.6,0.91,0,0.96,0,0,0,0
 24-34,0,0,1.85,0,6.95,0,0,0,0,0,0,0,1.04,0.67,0,0,0.87,0,0,0,137.01,0,3.15,0,0,0,0,0,0,37.72,0,0,0,0
 36-46,0,0,0,0,2.26,0,0,0,0,0,0,0,0.68,5.42,0,3.65,14.03,0,0,2.18,251.34,3.05,0,0,0,0,3.87,0,4.43,44.68,0,0,0,2.12
 48-58,0,0,0,0,5.14,0,1.9,0,0,1.02,0,0,0,0.69,0,0,10.53,0,0.63,1.64,449.75,0,1.35,0,0,0.56,0,0,1.1,14.94,0,0,0,6.27
 60-70,0,0,2.06,0,1.8,0,29.72,0,1.48,0,0.68,0,0,3.58,2.49,0,28.04,0,0.82,0,349.96,0,0,0,0,0,0,0,0,14.62,0,0,0,0
 72-82,0,0,6.5,0,1.14,0,6.88,0.82,0,2.14,0.86,0,0,0,0,0,23.71,1.52,0,1.14,613.12,0,0.93,0.55,0,0,1.59,0,0,15.93,0.5,0.72,0,0
 84-94,0,0,7.97,0,11.23,0,24.69,0,0.74,1.69,0,0,0,4.95,0,0,24.56,0,1.04,0,314.67,0,1.65,0,0,0,0.69,0,0,3.66,2.22,0,0.6,0
 96-106,0,0,5.21,0,27.16,0,9.61,0,0,5.61,0.56,0,0,2.84,9.82,0,21.63,0,0,1.94,320.91,0,0.6,0.75,0,0,1.38,0,0.87,2.1,0,0,1.67,0
108-118,0,0,0,0.52,5.86,3.01,8.28,0.54,0.85,13.65,0,0,0,1.86,0,0,21.39,0,0,0,318.02,0,0.46,0,0,0,0,0,0,3.94,0,1.55,0,0
120,0,0,0,0,13.72,0,8.11,0,0,25.33,2.35,0,0,3.15,0,0,6.4,0,0,0,325.05,0,0,0,0,0,0,0,0,0,0,3.73,0,0
