stage,blastomeres,epidermis,erythrocytes,eye,glial,ionocyte,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,somites,spinal.cord
  3-4,12.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,49.67,3.62,0,27.35,0,0,5.55,0,0
 14-21,0,0,0,0.8,0,0,0,0,12.44,0,0,0,0,0,0,0.85,0.91
 24-34,0,0,0,0,0,0,0.6,0,10.15,0,0,0,1.61,0,0,0,7.59
 36-46,0,0,0,18.34,0,0,0,0,0.77,0,0,0,0,0.96,0,0,1.91
 48-58,0,1.14,0,0.59,0.41,0,0,0,1.47,0,0,0,0,0,0,0,0
 60-70,0,0,0,11.11,0,0,0.98,0,5.1,0,0,0,0,0,0,0,0
 72-82,0,0.63,0.64,2.32,0,0,0.67,0,6.94,0,0,0,0,0,0,0,0
 84-94,0,0,0.62,1.24,1.28,1.68,1.97,0,2.95,0,0.91,0,0,0.85,0,0,0
 96-106,0,0,0,0,0,0,1.45,0,0,0,0,0,0,1.14,0,0,0
108-118,0,0,0,0,2.84,0,4.18,0,3.18,0,0,0,0,0.5,0,0,0
120,0,0,0,0,0,0,17.76,2.23,1.07,0,0,0,0,0,0,0,0
