stage,axial,blastomeres,endocrine.pancreas,endoderm,erythrocytes,eye,fast.muscle,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,xanthophores
  3-4,0,39.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.77,17.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.38,14.25,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.65,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.9,0.85,0,1.12,0,0,0,0,0,5.68,0,0,5.19,0,0,1.22,5.53,1.03,0.84,6.19,0
 24-34,0,0,0,1.44,0,0,0,0,5,0,0,0,0,1.42,0,0,23.54,0,0,0,17.67,0,0,2.94,0
 36-46,0,0,0,0.96,0,0,0,0,0,0,0,0,0.89,0,0,0,27.5,0,0,0,27.82,0,0,4.68,0
 48-58,0,0,0,0,0,2.74,0.44,0.74,0,0.55,0,0,0,0,0,0,15.3,0,0,0,7.71,0,0,2.7,0
 60-70,0,0,0,0,0,6.26,0,7.5,3.7,0,0,0,0,0,0,0,8.94,0,0,0,13.48,0,0,2.39,0
 72-82,0,0,1.94,0,6.42,9.63,0,0,5.64,0,0,0,0,1.32,0,0.64,25.59,0,1.65,0,7.7,0,0,1.01,0
 84-94,0,0,6.14,0,0,8.42,0,1.11,6.77,0,0,0,0,2.06,0,0,11.06,0,0,0,20.75,0,0,0,0
 96-106,0,0,2.68,1.03,0,3.54,0,0,15.66,0,0,0.63,0,1.63,0,0,2.84,1.2,0,0,17.64,0,0,0,6.41
108-118,0,0,3.12,0,0,0,0,0,26.13,0,0.49,0.42,0,2.17,1.5,0,4.2,0,0,0,17.37,0,0,0,0
120,0,0,3.74,0,0,13.68,0,0,45.73,0,0,0,0,0,0,0,6.61,0,0,0,13.67,0,0,0,0
