stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,16.62,503.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,68.81,848.18,0,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.31,0,0,0,0,0,22.34,0,0,0,0,0,0,0,0,0,0,0
  7-9,14.86,56.78,0,38.61,0,0,0,90.16,0,0,0,0,0,37.92,0,0,0,0,0,0,0,0,0,0,692.92,7.93,0,0,163.44,0,0,7.32,0,0,0,0,0,0,0,0,0,0
 10-12,0,8.5,0,72.11,0,0,0,65.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,605.97,10.88,0,0,207.89,0,0,4.94,6.12,17.28,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.89,3.46,0,0,12.27,0,0,0,1.01,0.98,0,0,0,0,0,8.67,0,7.91,0,0,10.48,200.53,1.97,1.55,0,2.14,0,0,1.74,9.97,0,0,19.26,61.9,0,0,0,0,0
 24-34,0,0,0,1.33,6.58,0,0,23.38,0,0,0,3.7,0,0,0,0,0,0,6.63,0,9.62,0,0,2.68,600.2,1.32,8.02,0.61,0,0,0.81,0,0,0,0,0,153.73,0,0,1.04,0,0
 36-46,0,0,0,0,0.67,0,0,66.55,0,0,1.21,11.19,0,0,0,0,0,0.65,2.52,0,5.6,0,0,4.49,1689.36,0,11.53,7.02,0,0,1.53,0.78,0,0,3.54,1.38,287.5,0,0,6.99,0,0
 48-58,0,0,0,0,7.77,0,0,344.53,2.69,0.75,0.57,24.62,0,0,0,0,0,0.95,0,0,17.67,0,0.69,7.05,2450.28,0,14.32,13.56,3.66,0,4.67,0,0,0,0,0,402.34,0,0.37,3.17,0,0.99
 60-70,0,0,0.65,0,3.44,0,0,1072.31,0,7.27,0,29.26,0.85,0,2.59,0,0,0,0,0,30.05,0,0,0.56,3628.15,0.87,11.17,4.81,0,0,10.7,0,0,1.1,0,0,556,0,0.63,0,0,10.3
 72-82,0,0,0.54,0,24.17,3.22,0,996.41,0,0,2.39,50.1,0.56,0,1.11,0,0.49,1.56,0,0,47.73,0.58,0,2.22,2712.02,0,18.19,2.94,0,0,0,0,0,0,0,0,359.96,0,2.54,7.09,0,1.14
 84-94,0,0,0,0,12.96,4.98,0,784.84,0,1.3,0.86,44.13,0,0,4.53,0,0.67,0,2.93,0.58,40.8,0,11.52,5.27,1644.27,1.18,12.18,2.52,0,0,11.33,0,0,0,0,0,200.74,0,0.63,1.3,0.62,0
 96-106,0,0,0,0,20.6,17.9,0,636.34,0,0,0,41.12,0,0,3.85,1.04,2.14,0,0,0,25.59,0,4.51,6.87,1396.7,0.71,14.02,6.76,0,1.01,7.25,0,0,0,0,0,107.44,2.1,3.06,0.65,1.36,6.64
108-118,0,0,1.39,0,13.04,0.85,0,638.28,0.56,1.46,1.87,50.47,1.42,0,1.65,0.6,8.21,0.7,0,0.74,38.69,1.14,4.04,2.86,1845.3,6.81,10.94,6.12,0,0,9.36,0,0,0,0,0,104.68,1.6,1.95,3.51,0,0.48
120,0,0,0,0,45.75,15.18,1.6,763.86,0,1.27,0,73.3,0,0,4.4,0,11.94,2.12,8.33,0,61.07,0,0,4.89,2873.82,38.19,21.36,17.15,0,0,1.77,0,0,0,0,0,178.92,9.6,5.41,0,0,0
