stage,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,mesenchyme,mural_cell,neural,periderm,somites,spinal_cord,vasculature
  5-6,11.03,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.96,0,0,0.83,0,0,0,0.97,0,0
 24-34,0,0,0,0.97,0,0,0,5.29,0.71,0,0,1.26
 36-46,0,0,0,0,0,0,0,4.55,0,0,0,0
 48-58,0,0,0,0,0,0.38,0,3.56,0,0,0.99,0
 60-70,0,0,0,1.19,0,0.7,0,0,0,0,0,0
 72-82,0,0,0,0,0,1.02,0,5.95,0,0,0,0
 84-94,0,0.7,0,0,1.39,3.67,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.53,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.66,0,0,0,0,0
